,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 06:51:10.674,2022-09-01 06:51:16.047,4.622,0.0466,5,4.6686,0.33140000000000036
1,2,2022-09-01 06:51:10.680,2022-09-01 06:51:21.426,4.819,0.0360,10,4.8549999999999995,5.1450000000000005
2,3,2022-09-01 06:51:10.696,2022-09-01 06:51:26.204,4.707,0.0399,15,4.7469,10.2531
3,4,2022-09-01 06:51:10.706,2022-09-01 06:51:30.836,4.550,0.0387,20,4.5887,15.4113
4,5,2022-09-01 06:51:10.725,2022-09-01 06:51:35.495,4.567,0.0430,24,4.61,19.39
5,6,2022-09-01 06:51:10.744,2022-09-01 06:51:40.342,4.645,0.0428,29,4.687799999999999,24.3122
6,7,2022-09-01 06:51:10.755,2022-09-01 06:51:45.005,4.594,0.0409,34,4.6349,29.365099999999998
7,8,2022-09-01 06:51:10.767,2022-09-01 06:51:50.177,4.725,0.0394,39,4.764399999999999,34.2356
8,9,2022-09-01 06:51:10.784,2022-09-01 06:51:55.168,4.777,0.0403,44,4.8173,39.1827
9,10,2022-09-01 06:51:10.792,2022-09-01 06:51:59.809,4.571,0.0381,49,4.6091,44.3909
10,11,2022-09-01 06:51:10.808,2022-09-01 06:52:05.299,5.240,0.0352,54,5.2752,48.7248
11,12,2022-09-01 06:51:10.819,2022-09-01 06:52:10.049,4.672,0.0365,59,4.7085,54.2915
12,13,2022-09-01 06:51:10.832,2022-09-01 06:52:14.893,4.771,0.0426,64,4.8136,59.1864
13,14,2022-09-01 06:51:10.842,2022-09-01 06:52:19.662,4.548,0.0402,68,4.5882,63.4118
14,15,2022-09-01 06:51:10.853,2022-09-01 06:52:24.600,4.587,0.0436,73,4.630599999999999,68.3694
