,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
4,5,2022-08-31 13:48:18.658,2022-08-31 13:48:23.639,4.738,0.0420,4,4.78,-0.7800000000000002
12,13,2022-08-31 13:48:18.718,2022-08-31 13:48:28.482,4.547,0.0382,9,4.5851999999999995,4.4148000000000005
8,9,2022-08-31 13:48:18.687,2022-08-31 13:48:33.133,4.586,0.0351,14,4.6211,9.3789
6,7,2022-08-31 13:48:18.671,2022-08-31 13:48:38.041,4.527,0.0515,19,4.5785,14.4215
5,6,2022-08-31 13:48:18.664,2022-08-31 13:48:42.976,4.717,0.0467,24,4.7637,19.2363
2,3,2022-08-31 13:48:18.637,2022-08-31 13:48:47.722,4.554,0.0401,29,4.5941,24.4059
7,8,2022-08-31 13:48:18.679,2022-08-31 13:48:52.361,4.559,0.0383,33,4.597300000000001,28.4027
1,2,2022-08-31 13:48:18.624,2022-08-31 13:48:57.466,4.619,0.0407,38,4.6597,33.3403
13,14,2022-08-31 13:48:18.726,2022-08-31 13:49:02.561,4.600,0.0363,43,4.636299999999999,38.3637
0,1,2022-08-31 13:48:18.617,2022-08-31 13:49:07.328,4.647,0.0421,48,4.6891,43.310900000000004
9,10,2022-08-31 13:48:18.695,2022-08-31 13:49:11.952,4.559,0.0417,53,4.6007,48.3993
14,15,2022-08-31 13:48:18.737,2022-08-31 13:49:17.374,4.563,0.0390,58,4.601999999999999,53.398
11,12,2022-08-31 13:48:18.711,2022-08-31 13:49:22.711,4.815,0.0396,64,4.8546000000000005,59.1454
3,4,2022-08-31 13:48:18.644,2022-08-31 13:49:27.506,4.644,0.0422,68,4.6862,63.3138
10,11,2022-08-31 13:48:18.702,2022-08-31 13:49:33.481,4.741,0.0400,74,4.781,69.219
