,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-13 19:43:18.702992,2023-01-13 19:43:23.459,4.702,0.0412,0.0381,4.756008,5.0,4.7432,10_0.05_k8s_k8s
1,2023-01-13 19:43:23.764632,2023-01-13 19:43:28.452,4.630,0.0432,0.0433,4.687368,5.0,4.6732,10_0.05_k8s_k8s
2,2023-01-13 19:43:31.884488,2023-01-13 19:43:40.611,8.683,0.0400,0.0343,8.726512,9.0,8.722999999999999,10_0.05_k8s_k8s
3,2023-01-13 19:43:33.481861,2023-01-13 19:43:43.405,9.871,0.0394,0.0341,9.923139,10.0,9.910400000000001,10_0.05_k8s_k8s
4,2023-01-13 19:43:41.362846,2023-01-13 19:43:47.206,5.798,0.0444,0.0364,5.843154,6.0,5.8424000000000005,10_0.05_k8s_k8s
5,2023-01-13 19:43:49.322174,2023-01-13 19:44:02.383,8.682,0.0462,0.0416,13.060826,13.0,8.728200000000001,10_0.05_k8s_k8s
6,2023-01-13 19:43:51.337261,2023-01-13 19:44:05.749,16.49,0.0485,0.0612,14.411739,14.0,16.5385,10_0.05_k8s_k8s
7,2023-01-13 19:43:51.999503,2023-01-13 19:44:06.971,11.39,0.0412,0.0416,14.971497,15.0,11.4312,10_0.05_k8s_k8s
8,2023-01-13 19:43:52.420171,2023-01-13 19:44:12.052,10.02,0.0412,0.0344,19.631829,20.0,10.0612,10_0.05_k8s_k8s
9,2023-01-13 19:43:53.661628,2023-01-13 19:44:14.812,7.085,0.0476,0.0484,21.150372,21.0,7.1326,10_0.05_k8s_k8s
10,2023-01-13 19:43:55.548201,2023-01-13 19:44:16.308,24.98,0.1267,0.0394,20.759799,21.0,25.1067,10_0.05_k8s_k8s
11,2023-01-13 19:44:01.950966,2023-01-13 19:44:18.404,26.34,0.0527,0.0946,16.453034,16.0,26.3927,10_0.05_k8s_k8s
12,2023-01-13 19:44:01.981780,2023-01-13 19:44:18.723,26.27,0.0379,0.0490,16.74122,17.0,26.3079,10_0.05_k8s_k8s
13,2023-01-13 19:44:07.682727,2023-01-13 19:44:19.376,5.548,0.0366,0.0361,11.693273,12.0,5.5846,10_0.05_k8s_k8s
14,2023-01-13 19:44:10.543708,2023-01-13 19:44:20.515,18.52,0.0487,0.0329,9.971292,10.0,18.5687,10_0.05_k8s_k8s
15,2023-01-13 19:44:11.170065,2023-01-13 19:44:20.559,5.078,0.0499,0.0370,9.388935,9.0,5.1279,10_0.05_k8s_k8s
16,2023-01-13 19:44:13.783768,2023-01-13 19:44:20.813,10.25,0.0396,0.0344,7.029232,7.0,10.2896,10_0.05_k8s_k8s
17,2023-01-13 19:44:15.420376,2023-01-13 19:44:21.539,10.31,0.0414,0.0344,6.118624,6.0,10.3514,10_0.05_k8s_k8s
