,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2023-01-11 16:40:46.060346,2023-01-11 16:40:51.987,5.8356,0.0495,5,5.8851,-0.8851000000000004,1_0.1_k8s_k8s
1,2023-01-11 16:40:53.765477,2023-01-11 16:40:58.030,4.1845,0.0443,4,4.2288,-0.22879999999999967,1_0.1_k8s_k8s
2,2023-01-11 16:41:00.467679,2023-01-11 16:41:04.767,4.2224,0.0451,4,4.2675,-0.26750000000000007,1_0.1_k8s_k8s
3,2023-01-11 16:41:08.532919,2023-01-11 16:41:12.843,4.2318,0.0413,4,4.2730999999999995,-0.27309999999999945,1_0.1_k8s_k8s
4,2023-01-11 16:41:18.108473,2023-01-11 16:41:23.843,4.1729,1.5404,5,5.7133,-0.7133000000000003,1_0.1_k8s_k8s
5,2023-01-11 16:41:22.894710,2023-01-11 16:41:29.252,5.9564,0.3759,6,6.3323,-0.33230000000000004,1_0.1_k8s_k8s
6,2023-01-11 16:41:26.890230,2023-01-11 16:41:32.975,6.0084,0.0487,6,6.0571,-0.05710000000000015,1_0.1_k8s_k8s
7,2023-01-11 16:41:29.666013,2023-01-11 16:41:33.847,4.1128,0.0420,4,4.1548,-0.15479999999999983,1_0.1_k8s_k8s
8,2023-01-11 16:41:33.174677,2023-01-11 16:41:38.074,4.1822,0.6931,4,4.8753,-0.8753000000000002,1_0.1_k8s_k8s
9,2023-01-11 16:41:37.676920,2023-01-11 16:41:41.934,4.1888,0.0430,4,4.2318,-0.23179999999999978,1_0.1_k8s_k8s
10,2023-01-11 16:41:45.307374,2023-01-11 16:41:49.559,4.1842,0.0388,4,4.223,-0.22299999999999986,1_0.1_k8s_k8s
11,2023-01-11 16:41:48.925955,2023-01-11 16:41:53.648,4.6619,0.0420,4,4.7039,-0.7039,1_0.1_k8s_k8s
12,2023-01-11 16:41:53.645751,2023-01-11 16:41:57.919,4.2154,0.0368,4,4.2522,-0.2522000000000002,1_0.1_k8s_k8s
13,2023-01-11 16:41:57.543903,2023-01-11 16:42:02.123,4.3923,0.1665,4,4.5588,-0.5587999999999997,1_0.1_k8s_k8s
14,2023-01-11 16:42:06.071699,2023-01-11 16:42:11.334,5.1892,0.0473,5,5.2364999999999995,-0.2364999999999995,1_0.1_k8s_k8s
15,2023-01-11 16:42:07.470857,2023-01-11 16:42:13.705,6.1700,0.0414,6,6.2114,-0.21140000000000025,1_0.1_k8s_k8s
16,2023-01-11 16:42:15.581966,2023-01-11 16:42:19.745,4.0981,0.0453,4,4.1434,-0.14339999999999975,1_0.1_k8s_k8s
17,2023-01-11 16:42:17.600378,2023-01-11 16:42:21.861,4.1966,0.0403,4,4.2369,-0.23690000000000033,1_0.1_k8s_k8s
18,2023-01-11 16:42:20.181862,2023-01-11 16:42:25.900,5.6537,0.0377,5,5.6914,-0.6913999999999998,1_0.1_k8s_k8s
