,intime,outtime,aeneas,tocloud,getobject,pubrabbitmq,TPT,FET,Waiting time,scenario
0,2023-01-11 17:27:48.106583,2023-01-11 17:27:52.608,32.413,0.0513,0.0425,0.0401,4,32.464299999999994,-28.464299999999994,3_0.1_k8s_k8s
1,2023-01-11 17:27:50.859941,2023-01-11 17:27:56.777,30.032,0.0419,0.0442,0.0366,5,30.0739,-25.0739,3_0.1_k8s_k8s
2,2023-01-11 17:27:54.898984,2023-01-11 17:28:02.047,4.2326,0.0411,0.0390,0.0377,7,4.2737,2.7263,3_0.1_k8s_k8s
3,2023-01-11 17:27:57.874944,2023-01-11 17:28:02.953,4.3383,0.0382,0.0449,0.0368,5,4.3765,0.6234999999999999,3_0.1_k8s_k8s
4,2023-01-11 17:27:58.068716,2023-01-11 17:28:02.994,7.8846,0.0382,0.0405,0.0483,4,7.9228,-3.9227999999999996,3_0.1_k8s_k8s
5,2023-01-11 17:28:03.028032,2023-01-11 17:28:07.366,7.9335,0.0556,0.0429,0.0351,4,7.9891000000000005,-3.9891000000000005,3_0.1_k8s_k8s
6,2023-01-11 17:28:05.640990,2023-01-11 17:28:18.479,42.032,0.0465,0.0397,0.0483,12,42.0785,-30.0785,3_0.1_k8s_k8s
7,2023-01-11 17:28:07.517672,2023-01-11 17:28:18.502,39.024,0.0519,0.0508,0.0390,10,39.075900000000004,-29.075900000000004,3_0.1_k8s_k8s
8,2023-01-11 17:28:07.775957,2023-01-11 17:28:20.774,41.361,0.1738,0.1085,0.0703,12,41.5348,-29.534799999999997,3_0.1_k8s_k8s
9,2023-01-11 17:28:08.070070,2023-01-11 17:28:21.230,42.153,0.1842,0.0550,0.1160,13,42.337199999999996,-29.337199999999996,3_0.1_k8s_k8s
10,2023-01-11 17:28:08.855978,2023-01-11 17:28:34.123,7.0805,0.0433,0.0436,0.0287,25,7.1238,17.8762,3_0.1_k8s_k8s
11,2023-01-11 17:28:10.403820,2023-01-11 17:28:34.187,6.4356,0.0638,0.2821,0.0274,23,6.4994,16.5006,3_0.1_k8s_k8s
12,2023-01-11 17:28:14.315454,2023-01-11 17:28:34.768,9.9320,0.0588,0.1677,0.0344,20,9.9908,10.0092,3_0.1_k8s_k8s
13,2023-01-11 17:28:15.268788,2023-01-11 17:28:35.152,7.6848,0.2284,0.0391,0.0390,19,7.9132,11.0868,3_0.1_k8s_k8s
14,2023-01-11 17:28:16.316577,2023-01-11 17:28:48.108,4.4634,0.0571,0.0511,0.0769,31,4.5205,26.4795,3_0.1_k8s_k8s
15,2023-01-11 17:28:17.685112,2023-01-11 17:28:48.712,4.3088,0.0635,0.0416,0.0288,31,4.3723,26.6277,3_0.1_k8s_k8s
17,2023-01-11 17:28:18.708568,2023-01-11 17:28:48.791,4.4184,0.0635,0.0511,0.0424,30,4.4819,25.5181,3_0.1_k8s_k8s
16,2023-01-11 17:28:17.754200,2023-01-11 17:28:48.794,6.0261,0.1076,0.0478,0.0408,31,6.133699999999999,24.866300000000003,3_0.1_k8s_k8s
18,2023-01-11 17:28:20.133321,2023-01-11 17:28:50.122,5.6340,0.1409,0.0746,0.0316,29,5.774900000000001,23.225099999999998,3_0.1_k8s_k8s
19,2023-01-11 17:28:20.598120,2023-01-11 17:28:56.528,48.651,0.0458,0.0854,0.1246,35,48.6968,-13.696800000000003,3_0.1_k8s_k8s
20,2023-01-11 17:28:21.393651,2023-01-11 17:29:00.108,41.968,0.0753,0.0614,0.0464,38,42.0433,-4.043300000000002,3_0.1_k8s_k8s
21,2023-01-11 17:28:23.195448,2023-01-11 17:29:00.114,47.855,0.0625,0.0988,0.0563,36,47.9175,-11.917499999999997,3_0.1_k8s_k8s
22,2023-01-11 17:28:26.689058,2023-01-11 17:29:02.206,48.873,0.0580,0.0390,0.0285,35,48.931,-13.930999999999997,3_0.1_k8s_k8s
23,2023-01-11 17:28:27.110394,2023-01-11 17:29:02.255,4.3122,0.0475,0.0395,0.0286,35,4.3597,30.6403,3_0.1_k8s_k8s
24,2023-01-11 17:28:28.113640,2023-01-11 17:29:02.819,3.6174,0.0984,0.0406,0.0678,34,3.7157999999999998,30.2842,3_0.1_k8s_k8s
25,2023-01-11 17:28:33.975877,2023-01-11 17:29:02.824,2.1453,0.0983,0.0556,0.0815,28,2.2436000000000003,25.7564,3_0.1_k8s_k8s
26,2023-01-11 17:28:35.903561,2023-01-11 17:29:03.701,0.0232,0.5111,0.0521,0.0321,27,0.5343,26.4657,3_0.1_k8s_k8s
27,2023-01-11 17:28:36.119305,2023-01-11 17:29:03.745,3.1780,0.3576,0.0804,0.0290,27,3.5356,23.4644,3_0.1_k8s_k8s
28,2023-01-11 17:28:42.532473,2023-01-11 17:29:06.419,0.0441,0.0687,0.0816,0.0562,23,0.1128,22.8872,3_0.1_k8s_k8s
29,2023-01-11 17:28:43.179916,2023-01-11 17:29:06.539,0.0111,0.0517,0.0682,0.0274,23,0.06280000000000001,22.9372,3_0.1_k8s_k8s
30,2023-01-11 17:28:45.786568,2023-01-11 17:29:09.542,0.0831,0.0400,0.0551,0.0305,23,0.12309999999999999,22.8769,3_0.1_k8s_k8s
31,2023-01-11 17:28:52.116636,2023-01-11 17:29:10.711,0.1002,0.0435,0.0374,0.0372,18,0.1437,17.8563,3_0.1_k8s_k8s
32,2023-01-11 17:28:52.122005,2023-01-11 17:29:11.963,0.0158,0.0424,0.0454,0.0305,19,0.0582,18.9418,3_0.1_k8s_k8s
33,2023-01-11 17:28:52.152010,2023-01-11 17:29:13.280,0.0204,0.0425,0.0400,0.0277,21,0.06290000000000001,20.9371,3_0.1_k8s_k8s
34,2023-01-11 17:28:54.555935,2023-01-11 17:29:14.792,0.0236,0.0393,0.0390,0.0383,20,0.0629,19.9371,3_0.1_k8s_k8s
35,2023-01-11 17:28:56.355920,2023-01-11 17:29:15.321,0.0188,0.0420,0.0349,0.0355,18,0.06080000000000001,17.9392,3_0.1_k8s_k8s
36,2023-01-11 17:28:56.431747,2023-01-11 17:29:15.995,0.0164,0.0536,0.0501,0.0465,19,0.07,18.93,3_0.1_k8s_k8s
37,2023-01-11 17:28:57.095890,2023-01-11 17:29:16.021,0.0142,0.0543,0.0393,0.0327,18,0.0685,17.9315,3_0.1_k8s_k8s
38,2023-01-11 17:28:58.797103,2023-01-11 17:29:16.041,0.0116,0.0425,0.0539,0.0313,17,0.0541,16.9459,3_0.1_k8s_k8s
39,2023-01-11 17:29:05.034633,2023-01-11 17:29:18.553,0.0046,0.0838,0.0624,0.0311,13,0.0884,12.9116,3_0.1_k8s_k8s
40,2023-01-11 17:29:06.349224,2023-01-11 17:29:29.743,53.678,0.0376,0.0545,0.0342,23,53.715599999999995,-30.715599999999995,3_0.1_k8s_k8s
41,2023-01-11 17:29:07.205008,2023-01-11 17:29:30.020,46.808,0.0556,0.3139,0.0395,22,46.8636,-24.863599999999998,3_0.1_k8s_k8s
42,2023-01-11 17:29:07.491369,2023-01-11 17:29:30.180,54.197,0.0699,0.0258,0.0292,22,54.2669,-32.2669,3_0.1_k8s_k8s
43,2023-01-11 17:29:09.110795,2023-01-11 17:29:30.215,47.633,0.0537,0.0289,0.0382,21,47.6867,-26.686700000000002,3_0.1_k8s_k8s
44,2023-01-11 17:29:14.125360,2023-01-11 17:29:43.465,24.616,0.0607,0.0668,0.0664,29,24.6767,4.3233,3_0.1_k8s_k8s
45,2023-01-11 17:29:14.912507,2023-01-11 17:29:43.486,48.864,0.0762,0.0341,0.0629,28,48.9402,-20.940199999999997,3_0.1_k8s_k8s
