,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-17 19:24:37.396936,2023-01-17 19:24:46.887,4.28,0.0428,0.0408,9.490064,9.0,4.3228,10_0.05_k8s_keda
1,2023-01-17 19:24:52.039883,2023-01-17 19:24:56.274,4.14,0.0412,0.0368,4.234117,4.0,4.1812,10_0.05_k8s_keda
2,2023-01-17 19:24:57.394757,2023-01-17 19:25:01.808,4.31,0.0488,0.0382,4.413243,4.0,4.3588,10_0.05_k8s_keda
3,2023-01-17 19:24:59.437512,2023-01-17 19:25:05.420,5.89,0.0443,0.0375,5.982488,6.0,5.9342999999999995,10_0.05_k8s_keda
4,2023-01-17 19:25:05.252118,2023-01-17 19:25:09.603,4.25,0.0389,0.0453,4.350882,4.0,4.2889,10_0.05_k8s_keda
5,2023-01-17 19:25:07.297605,2023-01-17 19:25:13.251,5.87,0.0391,0.0397,5.953395,6.0,5.9091000000000005,10_0.05_k8s_keda
6,2023-01-17 19:25:13.355344,2023-01-17 19:25:17.773,4.32,0.0560,0.0347,4.417656,4.0,4.376,10_0.05_k8s_keda
7,2023-01-17 19:25:17.387654,2023-01-17 19:25:22.869,5.40,0.0318,0.0363,5.481346,5.0,5.4318,10_0.05_k8s_keda
8,2023-01-17 19:25:19.109523,2023-01-17 19:25:25.269,6.08,0.0427,0.0283,6.159477,6.0,6.1227,10_0.05_k8s_keda
9,2023-01-17 19:25:23.443942,2023-01-17 19:25:27.810,4.27,0.0378,0.0534,4.366058,4.0,4.307799999999999,10_0.05_k8s_keda
10,2023-01-17 19:25:23.555842,2023-01-17 19:25:27.824,4.19,0.0364,0.0349,4.268158,4.0,4.226400000000001,10_0.05_k8s_keda
11,2023-01-17 19:25:31.355381,2023-01-17 19:25:35.708,4.27,0.0501,0.0311,4.352619,4.0,4.320099999999999,10_0.05_k8s_keda
12,2023-01-17 19:25:31.485097,2023-01-17 19:25:40.759,7.10,0.0393,0.0363,9.273903,9.0,7.1392999999999995,10_0.05_k8s_keda
13,2023-01-17 19:25:37.391657,2023-01-17 19:25:43.983,6.50,0.0440,0.0388,6.591343,7.0,6.544,10_0.05_k8s_keda
14,2023-01-17 19:25:38.097678,2023-01-17 19:25:47.479,9.27,0.0476,0.0606,9.381322,9.0,9.317599999999999,10_0.05_k8s_keda
15,2023-01-17 19:25:43.849082,2023-01-17 19:25:50.023,6.08,0.0461,0.0502,6.173918,6.0,6.1261,10_0.05_k8s_keda
16,2023-01-17 19:25:45.774190,2023-01-17 19:25:58.729,12.6,0.0429,0.0355,12.95481,13.0,12.6429,10_0.05_k8s_keda
17,2023-01-17 19:25:45.990830,2023-01-17 19:25:59.248,11.5,0.0421,0.0438,13.25717,13.0,11.5421,10_0.05_k8s_keda
18,2023-01-17 19:25:47.629130,2023-01-17 19:25:59.255,13.4,0.0513,0.0387,11.62587,12.0,13.4513,10_0.05_k8s_keda
19,2023-01-17 19:25:50.752429,2023-01-17 19:26:03.148,4.30,0.0395,0.0445,12.395571,12.0,4.3395,10_0.05_k8s_keda
20,2023-01-17 19:25:56.771392,2023-01-17 19:26:03.859,6.71,0.0401,0.0292,7.087608,7.0,6.7501,10_0.05_k8s_keda
21,2023-01-17 19:25:57.177763,2023-01-17 19:26:04.023,6.53,0.0413,0.0323,6.845237,7.0,6.5713,10_0.05_k8s_keda
22,2023-01-17 19:25:57.393556,2023-01-17 19:26:07.978,17.2,0.0422,0.0301,10.584444,11.0,17.2422,10_0.05_k8s_keda
23,2023-01-17 19:25:58.154799,2023-01-17 19:26:08.460,11.6,0.0392,0.0404,10.305201,10.0,11.639199999999999,10_0.05_k8s_keda
24,2023-01-17 19:25:58.742499,2023-01-17 19:26:08.472,10.2,0.0584,0.0549,9.729501,10.0,10.2584,10_0.05_k8s_keda
25,2023-01-17 19:26:06.054776,2023-01-17 19:26:11.472,4.19,0.0463,0.0304,5.417224,5.0,4.2363,10_0.05_k8s_keda
26,2023-01-17 19:26:07.178625,2023-01-17 19:26:14.771,8.62,0.0367,0.0315,7.592375,8.0,8.656699999999999,10_0.05_k8s_keda
27,2023-01-17 19:26:08.119264,2023-01-17 19:26:14.991,6.78,0.0413,0.0311,6.871736,7.0,6.8213,10_0.05_k8s_keda
28,2023-01-17 19:26:09.919090,2023-01-17 19:26:27.426,13.7,0.0436,0.0335,17.50691,18.0,13.743599999999999,10_0.05_k8s_keda
29,2023-01-17 19:26:10.338007,2023-01-17 19:26:28.090,14.3,0.0454,0.0618,17.751993,18.0,14.345400000000001,10_0.05_k8s_keda
30,2023-01-17 19:26:13.842243,2023-01-17 19:26:28.100,13.4,0.0602,0.0653,14.257757,14.0,13.4602,10_0.05_k8s_keda
31,2023-01-17 19:26:14.604577,2023-01-17 19:26:28.125,14.1,0.0383,0.0729,13.520423,14.0,14.1383,10_0.05_k8s_keda
32,2023-01-17 19:26:17.388480,2023-01-17 19:26:40.247,22.7,0.0390,0.0360,22.85852,23.0,22.739,10_0.05_k8s_keda
33,2023-01-17 19:26:20.718220,2023-01-17 19:26:40.746,17.2,0.0363,0.0345,20.02778,20.0,17.2363,10_0.05_k8s_keda
34,2023-01-17 19:26:20.747025,2023-01-17 19:26:40.930,20.0,0.0532,0.0441,20.182975,20.0,20.0532,10_0.05_k8s_keda
35,2023-01-17 19:26:22.159758,2023-01-17 19:26:40.969,20.1,0.0426,0.0495,18.809242,19.0,20.1426,10_0.05_k8s_keda
36,2023-01-17 19:26:23.967439,2023-01-17 19:26:52.862,28.8,0.0437,0.0445,28.894561,29.0,28.843700000000002,10_0.05_k8s_keda
37,2023-01-17 19:26:24.104964,2023-01-17 19:26:53.241,23.4,0.0381,0.0363,29.136036,29.0,23.4381,10_0.05_k8s_keda
38,2023-01-17 19:26:29.738152,2023-01-17 19:26:53.347,29.2,0.0404,0.0352,23.608848,24.0,29.2404,10_0.05_k8s_keda
39,2023-01-17 19:26:31.299495,2023-01-17 19:26:53.513,22.1,0.0467,0.0361,22.213505,22.0,22.146700000000003,10_0.05_k8s_keda
40,2023-01-17 19:26:32.531907,2023-01-17 19:27:05.460,32.8,0.0349,0.0282,32.928093,33.0,32.8349,10_0.05_k8s_keda
41,2023-01-17 19:26:34.645596,2023-01-17 19:27:05.948,30.1,0.0393,0.0350,31.302404,31.0,30.139300000000002,10_0.05_k8s_keda
42,2023-01-17 19:26:35.007321,2023-01-17 19:27:06.056,30.9,0.0453,0.0566,31.048679,31.0,30.9453,10_0.05_k8s_keda
43,2023-01-17 19:26:35.687127,2023-01-17 19:27:06.063,31.3,0.0471,0.0614,30.375873,30.0,31.3471,10_0.05_k8s_keda
