,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-17 11:47:06.424827,2023-01-17 11:47:14.673,4.38,0.0452,0.0394,8.248173,8.0,4.4252,10_0.05_keda
1,2023-01-17 11:47:13.760174,2023-01-17 11:47:18.788,4.92,0.0469,0.0351,5.027826,5.0,4.9669,10_0.05_keda
2,2023-01-17 11:47:22.096899,2023-01-17 11:47:26.432,4.23,0.0434,0.0362,4.335101,4.0,4.2734000000000005,10_0.05_keda
3,2023-01-17 11:47:26.423462,2023-01-17 11:47:30.792,4.27,0.0468,0.0379,4.368538,4.0,4.3168,10_0.05_keda
4,2023-01-17 11:47:35.183115,2023-01-17 11:47:39.572,4.29,0.0429,0.0474,4.388885,4.0,4.3329,10_0.05_keda
5,2023-01-17 11:47:40.308235,2023-01-17 11:47:44.664,4.25,0.0396,0.0388,4.355765,4.0,4.2896,10_0.05_keda
6,2023-01-17 11:47:46.416692,2023-01-17 11:47:53.111,6.66,0.0456,0.0427,6.694308,7.0,6.7056000000000004,10_0.05_keda
7,2023-01-17 11:47:46.732450,2023-01-17 11:47:53.303,6.48,0.0399,0.0354,6.57055,7.0,6.519900000000001,10_0.05_keda
8,2023-01-17 11:47:52.734239,2023-01-17 11:47:57.464,4.63,0.0356,0.0366,4.729761,5.0,4.6655999999999995,10_0.05_keda
9,2023-01-17 11:47:57.167399,2023-01-17 11:48:02.506,5.23,0.0526,0.0432,5.338601,5.0,5.2826,10_0.05_keda
10,2023-01-17 11:47:59.020418,2023-01-17 11:48:04.957,5.84,0.0419,0.0356,5.936582,6.0,5.8819,10_0.05_keda
11,2023-01-17 11:48:03.906033,2023-01-17 11:48:12.033,8.04,0.0373,0.0303,8.126967,8.0,8.0773,10_0.05_keda
12,2023-01-17 11:48:05.844673,2023-01-17 11:48:17.991,11.4,0.0449,0.0324,12.146327,12.0,11.4449,10_0.05_keda
13,2023-01-17 11:48:06.418568,2023-01-17 11:48:18.148,4.17,0.0353,0.0307,11.729432,12.0,4.2053,10_0.05_keda
14,2023-01-17 11:48:06.483706,2023-01-17 11:48:18.491,12.0,0.0477,0.0456,12.007294,12.0,12.0477,10_0.05_keda
15,2023-01-17 11:48:12.379476,2023-01-17 11:48:18.498,12.5,0.0439,0.0552,6.118524,6.0,12.5439,10_0.05_keda
16,2023-01-17 11:48:12.862812,2023-01-17 11:48:24.740,12.2,0.0365,0.0403,11.877188,12.0,12.2365,10_0.05_keda
17,2023-01-17 11:48:13.869056,2023-01-17 11:48:24.869,11.9,0.0344,0.0316,10.999944,11.0,11.9344,10_0.05_keda
