,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-19 10:26:12.652810,2023-01-19 10:26:17.056,4.31,0.0357,0.0348,4.40319,4.0,4.3457,10_0.05_no_scaling
1,2023-01-19 10:26:24.607499,2023-01-19 10:26:29.002,4.30,0.0487,0.0474,4.394501,4.0,4.3487,10_0.05_no_scaling
2,2023-01-19 10:26:31.776312,2023-01-19 10:26:37.038,5.16,0.0364,0.0321,5.261688,5.0,5.196400000000001,10_0.05_no_scaling
3,2023-01-19 10:26:32.643660,2023-01-19 10:26:39.502,6.77,0.0414,0.0357,6.85834,7.0,6.8114,10_0.05_no_scaling
4,2023-01-19 10:26:37.548220,2023-01-19 10:26:44.608,6.97,0.0760,0.0304,7.05978,7.0,7.045999999999999,10_0.05_no_scaling
5,2023-01-19 10:26:40.408382,2023-01-19 10:26:46.954,6.43,0.0418,0.0306,6.545618,7.0,6.4718,10_0.05_no_scaling
6,2023-01-19 10:26:47.309624,2023-01-19 10:26:52.644,5.25,0.0388,0.0343,5.334376,5.0,5.2888,10_0.05_no_scaling
7,2023-01-19 10:26:48.737809,2023-01-19 10:26:56.196,7.39,0.0461,0.0955,7.458191,7.0,7.4361,10_0.05_no_scaling
8,2023-01-19 10:26:52.646094,2023-01-19 10:26:59.593,6.85,0.0393,0.0298,6.946906,7.0,6.8892999999999995,10_0.05_no_scaling
9,2023-01-19 10:26:55.698129,2023-01-19 10:27:03.038,7.24,0.0422,0.0385,7.339871,7.0,7.2822000000000005,10_0.05_no_scaling
10,2023-01-19 10:26:59.274543,2023-01-19 10:27:07.527,8.18,0.0384,0.0368,8.252457,8.0,8.218399999999999,10_0.05_no_scaling
11,2023-01-19 10:27:00.588515,2023-01-19 10:27:11.797,9.54,0.0514,0.0347,11.208485,11.0,9.591399999999998,10_0.05_no_scaling
12,2023-01-19 10:27:02.179599,2023-01-19 10:27:12.065,11.4,0.0540,0.0334,9.885401,10.0,11.454,10_0.05_no_scaling
14,2023-01-19 10:27:10.115100,2023-01-19 10:27:20.269,10.1,0.0382,0.0483,10.1539,10.0,10.1382,10_0.05_no_scaling
13,2023-01-19 10:27:09.982444,2023-01-19 10:27:20.270,10.0,0.0423,0.0547,10.287556,10.0,10.0423,10_0.05_no_scaling
15,2023-01-19 10:27:12.646901,2023-01-19 10:27:23.536,10.8,0.0290,0.0551,10.889099,11.0,10.829,10_0.05_no_scaling
16,2023-01-19 10:27:13.361787,2023-01-19 10:27:34.404,20.9,0.0298,0.0362,21.042213,21.0,20.9298,10_0.05_no_scaling
17,2023-01-19 10:27:18.375010,2023-01-19 10:27:35.233,13.2,0.0446,0.0624,16.85799,17.0,13.2446,10_0.05_no_scaling
19,2023-01-19 10:27:21.882914,2023-01-19 10:27:35.267,14.1,0.0494,0.0687,13.384086,13.0,14.1494,10_0.05_no_scaling
