,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-15 20:12:33.573722,2023-01-15 20:12:37.963,4.30,0.0410,0.0352,4.389278,4.0,4.341,10_0.04_rps
1,2023-01-15 20:12:41.865139,2023-01-15 20:12:46.314,4.35,0.0424,0.0284,4.448861,4.0,4.392399999999999,10_0.04_rps
2,2023-01-15 20:12:52.150802,2023-01-15 20:12:56.523,4.28,0.0350,0.0354,4.372198,4.0,4.315,10_0.04_rps
3,2023-01-15 20:12:58.563601,2023-01-15 20:13:02.913,4.26,0.0480,0.0362,4.349399,4.0,4.308,10_0.04_rps
4,2023-01-15 20:13:02.762520,2023-01-15 20:13:07.098,4.23,0.0473,0.0324,4.33548,4.0,4.2773,10_0.04_rps
5,2023-01-15 20:13:07.424297,2023-01-15 20:13:12.666,5.14,0.0431,0.0379,5.241703,5.0,5.1831,10_0.04_rps
6,2023-01-15 20:13:08.540580,2023-01-15 20:13:15.205,6.56,0.0436,0.0305,6.66442,7.0,6.603599999999999,10_0.04_rps
7,2023-01-15 20:13:14.919761,2023-01-15 20:13:19.475,4.46,0.0461,0.0425,4.555239,5.0,4.5061,10_0.04_rps
8,2023-01-15 20:13:18.686688,2023-01-15 20:13:24.357,5.58,0.0416,0.0559,5.670312,6.0,5.6216,10_0.04_rps
9,2023-01-15 20:13:22.636594,2023-01-15 20:13:31.854,9.17,0.0364,0.0413,9.217406,9.0,9.2064,10_0.04_rps
10,2023-01-15 20:13:23.561371,2023-01-15 20:13:32.063,8.42,0.0467,0.0332,8.501629,9.0,8.4667,10_0.04_rps
11,2023-01-15 20:13:25.826881,2023-01-15 20:13:35.450,9.53,0.0417,0.0594,9.623119,10.0,9.5717,10_0.04_rps
12,2023-01-15 20:13:30.140192,2023-01-15 20:13:38.709,8.47,0.0376,0.0354,8.568808,9.0,8.5076,10_0.04_rps
13,2023-01-15 20:13:32.834256,2023-01-15 20:13:43.182,10.2,0.0440,0.0377,10.347744,10.0,10.244,10_0.04_rps
14,2023-01-15 20:13:36.083909,2023-01-15 20:13:48.424,11.8,0.0409,0.0351,12.340091,12.0,11.840900000000001,10_0.04_rps
15,2023-01-15 20:13:36.522444,2023-01-15 20:13:48.582,12.4,0.4980,0.0364,12.059556,12.0,12.898,10_0.04_rps
16,2023-01-15 20:13:41.681369,2023-01-15 20:13:50.916,9.13,0.0423,0.0685,9.234631,9.0,9.1723,10_0.04_rps
17,2023-01-15 20:13:43.652835,2023-01-15 20:14:00.122,16.6,0.0229,0.0469,16.469165,16.0,16.6229,10_0.04_rps
18,2023-01-15 20:13:48.565022,2023-01-15 20:14:00.497,11.8,0.0437,0.0843,11.931978,12.0,11.8437,10_0.04_rps
19,2023-01-15 20:13:50.191839,2023-01-15 20:14:00.521,10.2,0.0390,0.0866,10.329161,10.0,10.238999999999999,10_0.04_rps
20,2023-01-15 20:13:53.110436,2023-01-15 20:14:09.550,16.3,0.0404,0.0417,16.439564,16.0,16.340400000000002,10_0.04_rps
21,2023-01-15 20:13:56.945999,2023-01-15 20:14:10.149,10.3,0.0441,0.0647,13.203001,13.0,10.344100000000001,10_0.04_rps
22,2023-01-15 20:13:59.674872,2023-01-15 20:14:10.161,13.1,0.0415,0.0831,10.486128,10.0,13.141499999999999,10_0.04_rps
23,2023-01-15 20:14:03.168418,2023-01-15 20:14:16.666,13.3,0.0466,0.0439,13.497582,13.0,13.3466,10_0.04_rps
24,2023-01-15 20:14:05.229982,2023-01-15 20:14:22.641,11.6,0.0409,0.0437,17.411018,17.0,11.6409,10_0.04_rps
25,2023-01-15 20:14:08.436921,2023-01-15 20:14:23.130,15.3,0.0480,0.0492,14.693079,15.0,15.348,10_0.04_rps
26,2023-01-15 20:14:09.258845,2023-01-15 20:14:23.137,14.5,0.0509,0.0442,13.878155,14.0,14.5509,10_0.04_rps
27,2023-01-15 20:14:13.563849,2023-01-15 20:14:29.606,15.9,0.0379,0.0659,16.042151,16.0,15.9379,10_0.04_rps
28,2023-01-15 20:14:15.189793,2023-01-15 20:14:36.947,21.8,0.0426,0.0376,21.757207,22.0,21.8426,10_0.04_rps
29,2023-01-15 20:14:16.172462,2023-01-15 20:14:37.275,21.6,0.0539,0.0740,21.102538,21.0,21.6539,10_0.04_rps
30,2023-01-15 20:14:16.423426,2023-01-15 20:14:37.275,21.8,0.0538,0.0781,20.851574,21.0,21.8538,10_0.04_rps
31,2023-01-15 20:14:19.098020,2023-01-15 20:14:39.561,20.3,0.0415,0.0548,20.46298,20.0,20.3415,10_0.04_rps
32,2023-01-15 20:14:21.343375,2023-01-15 20:14:51.517,30.1,0.0401,0.0303,30.173625,30.0,30.1401,10_0.04_rps
33,2023-01-15 20:14:22.372091,2023-01-15 20:14:52.232,29.7,0.0406,0.0691,29.859909,30.0,29.7406,10_0.04_rps
34,2023-01-15 20:14:27.471478,2023-01-15 20:14:52.244,24.6,0.0452,0.0662,24.772522,25.0,24.645200000000003,10_0.04_rps
35,2023-01-15 20:14:29.668836,2023-01-15 20:14:52.266,22.4,0.0409,0.0576,22.597164,23.0,22.4409,10_0.04_rps
36,2023-01-15 20:14:32.359057,2023-01-15 20:14:56.208,23.7,0.0521,0.0330,23.848943,24.0,23.7521,10_0.04_rps
