,intime,aeneas,tocloud,pubrabbitmq,outtime,TPT,PT,FET,scenario
0,2023-01-15 20:26:18.440147,4.46,0.0410,0.0325,2023-01-15 20:26:22.983,4.542853,5.0,4.501,10_0.06_rps
1,2023-01-15 20:26:25.928278,4.19,0.0435,0.0348,2023-01-15 20:26:30.194,4.265722,4.0,4.2335,10_0.06_rps
2,2023-01-15 20:26:33.441346,5.33,0.0423,0.0372,2023-01-15 20:26:38.839,5.397654,5.0,5.3723,10_0.06_rps
3,2023-01-15 20:26:35.098083,6.15,0.0398,0.0337,2023-01-15 20:26:41.347,6.248917,6.0,6.1898,10_0.06_rps
4,2023-01-15 20:26:39.771308,5.70,0.0479,0.0491,2023-01-15 20:26:45.548,5.776692,6.0,5.7479000000000005,10_0.06_rps
5,2023-01-15 20:26:48.030958,5.26,0.0381,0.0351,2023-01-15 20:26:53.373,5.342042,5.0,5.2981,10_0.06_rps
6,2023-01-15 20:26:49.347335,7.48,0.0413,0.0342,2023-01-15 20:26:56.909,7.561665,8.0,7.5213,10_0.06_rps
7,2023-01-15 20:26:51.764582,7.50,0.0375,0.0480,2023-01-15 20:26:59.349,7.584418,8.0,7.5375,10_0.06_rps
8,2023-01-15 20:26:58.905548,5.67,0.0471,0.0329,2023-01-15 20:27:04.665,5.759452,6.0,5.7171,10_0.06_rps
9,2023-01-15 20:27:00.979282,6.89,0.0494,0.0384,2023-01-15 20:27:07.959,6.979718,7.0,6.9394,10_0.06_rps
10,2023-01-15 20:27:01.721302,8.74,0.0383,0.0322,2023-01-15 20:27:10.543,8.821698,9.0,8.7783,10_0.06_rps
11,2023-01-15 20:27:08.445928,7.05,0.0457,0.0341,2023-01-15 20:27:15.579,7.133072,7.0,7.0957,10_0.06_rps
12,2023-01-15 20:27:12.192041,6.80,0.0342,0.0420,2023-01-15 20:27:19.083,6.890959,7.0,6.8342,10_0.06_rps
13,2023-01-15 20:27:15.293668,7.97,0.0409,0.0340,2023-01-15 20:27:23.346,8.052332,8.0,8.0109,10_0.06_rps
14,2023-01-15 20:27:16.052396,9.99,0.0491,0.0383,2023-01-15 20:27:27.650,11.597604,12.0,10.0391,10_0.06_rps
15,2023-01-15 20:27:17.658700,11.7,0.0237,0.0512,2023-01-15 20:27:27.914,10.2553,10.0,11.7237,10_0.06_rps
16,2023-01-15 20:27:25.097621,15.5,0.0584,0.0701,2023-01-15 20:27:40.391,15.293379,15.0,15.5584,10_0.06_rps
17,2023-01-15 20:27:26.411288,14.6,0.0509,0.0706,2023-01-15 20:27:41.090,14.678712,15.0,14.6509,10_0.06_rps
18,2023-01-15 20:27:26.891034,14.1,0.0433,0.0695,2023-01-15 20:27:41.101,14.209966,14.0,14.1433,10_0.06_rps
