,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-15 09:58:30.872565,2023-01-15 09:58:36.065,5.10,0.0490,0.0348,5.192435,5.0,5.149,10_0.06_rps
1,2023-01-15 09:58:32.268392,2023-01-15 09:58:39.502,7.16,0.0448,0.0355,7.233608,7.0,7.2048000000000005,10_0.06_rps
2,2023-01-15 09:58:33.375137,2023-01-15 09:58:42.730,9.28,0.0426,0.0340,9.354863,9.0,9.3226,10_0.06_rps
3,2023-01-15 09:58:36.347706,2023-01-15 09:58:46.865,10.4,0.0521,0.0331,10.517294,11.0,10.4521,10_0.06_rps
4,2023-01-15 09:58:40.550360,2023-01-15 09:58:51.316,10.6,0.0450,0.0490,10.76564,11.0,10.645,10_0.06_rps
5,2023-01-15 09:58:42.536199,2023-01-15 09:58:51.323,8.72,0.0408,0.0546,8.786801,9.0,8.760800000000001,10_0.06_rps
6,2023-01-15 09:58:47.499529,2023-01-15 09:58:56.291,8.69,0.0465,0.0390,8.791471,9.0,8.7365,10_0.06_rps
7,2023-01-15 09:58:51.969475,2023-01-15 09:59:00.677,8.64,0.0430,0.0380,8.707525,9.0,8.683,10_0.06_rps
8,2023-01-15 09:58:55.686196,2023-01-15 09:59:05.018,9.07,0.0562,0.0359,9.331804,9.0,9.1262,10_0.06_rps
9,2023-01-15 09:58:55.908971,2023-01-15 09:59:05.146,9.45,0.0509,0.0332,9.237029,9.0,9.5009,10_0.06_rps
10,2023-01-15 09:58:58.834838,2023-01-15 09:59:13.723,14.7,0.0894,0.0697,14.888162,15.0,14.789399999999999,10_0.06_rps
11,2023-01-15 09:58:59.417143,2023-01-15 09:59:13.755,14.2,0.1057,0.0778,14.337857,14.0,14.3057,10_0.06_rps
12,2023-01-15 09:59:04.168159,2023-01-15 09:59:17.788,4.26,0.0545,0.0364,13.619841,14.0,4.3145,10_0.06_rps
13,2023-01-15 09:59:04.492225,2023-01-15 09:59:18.050,13.8,0.0638,0.0503,13.557775,14.0,13.863800000000001,10_0.06_rps
14,2023-01-15 09:59:05.696633,2023-01-15 09:59:18.057,13.5,0.0730,0.0458,12.360367,12.0,13.573,10_0.06_rps
15,2023-01-15 09:59:08.961583,2023-01-15 09:59:21.796,4.29,0.0396,0.0287,12.834417,13.0,4.3296,10_0.06_rps
16,2023-01-15 09:59:09.330281,2023-01-15 09:59:23.082,4.15,0.0359,0.0317,13.751719,14.0,4.1859,10_0.06_rps
18,2023-01-15 09:59:11.903289,2023-01-15 09:59:26.625,20.8,0.0740,0.0389,14.721711,15.0,20.874000000000002,10_0.06_rps
17,2023-01-15 09:59:09.954579,2023-01-15 09:59:26.625,17.5,0.0781,0.0510,16.670421,17.0,17.5781,10_0.06_rps
19,2023-01-15 09:59:13.443409,2023-01-15 09:59:28.071,6.70,0.0347,0.0322,14.627591,15.0,6.7347,10_0.06_rps
20,2023-01-15 09:59:17.450008,2023-01-15 09:59:28.398,6.68,0.0425,0.0305,10.947992,11.0,6.7225,10_0.06_rps
21,2023-01-15 09:59:18.858486,2023-01-15 09:59:30.333,4.24,0.0436,0.0370,11.474514,11.0,4.2836,10_0.06_rps
