,intime,outtime,aeneas,tocloud,pubrabbitmq,TPT,PT,FET,scenario
0,2023-01-15 20:59:41.029760,2023-01-15 20:59:45.414,4.30,0.0416,0.0382,4.38424,4.0,4.3416,45_0.05_k8s
1,2023-01-15 20:59:48.783543,2023-01-15 20:59:53.028,4.15,0.0489,0.0332,4.244457,4.0,4.1989,45_0.05_k8s
2,2023-01-15 20:59:59.657528,2023-01-15 21:00:04.955,5.21,0.0494,0.0346,5.297472,5.0,5.2594,45_0.05_k8s
3,2023-01-15 21:00:01.023035,2023-01-15 21:00:07.392,6.28,0.0406,0.0388,6.368965,6.0,6.320600000000001,45_0.05_k8s
4,2023-01-15 21:00:10.259397,2023-01-15 21:00:14.612,4.28,0.0357,0.0354,4.352603,4.0,4.3157000000000005,45_0.05_k8s
5,2023-01-15 21:00:13.705486,2023-01-15 21:00:18.671,4.87,0.0458,0.0309,4.965514,5.0,4.9158,45_0.05_k8s
6,2023-01-15 21:00:16.635521,2023-01-15 21:00:22.782,6.06,0.0470,0.0462,6.146479,6.0,6.106999999999999,45_0.05_k8s
7,2023-01-15 21:00:21.022951,2023-01-15 21:00:26.947,5.84,0.0527,0.0366,5.924049,6.0,5.8927,45_0.05_k8s
8,2023-01-15 21:00:24.520394,2023-01-15 21:00:33.084,8.52,0.0380,0.0345,8.563606,9.0,8.558,45_0.05_k8s
9,2023-01-15 21:00:25.124919,2023-01-15 21:00:33.341,8.15,0.0366,0.0348,8.216081,8.0,8.1866,45_0.05_k8s
10,2023-01-15 21:00:29.142199,2023-01-15 21:00:42.813,13.6,0.0439,0.0333,13.670801,14.0,13.6439,45_0.05_k8s
11,2023-01-15 21:00:30.675328,2023-01-15 21:00:42.889,12.1,0.0362,0.0704,12.213672,12.0,12.136199999999999,45_0.05_k8s
12,2023-01-15 21:00:32.485610,2023-01-15 21:00:43.121,10.5,0.0387,0.0342,10.63539,11.0,10.5387,45_0.05_k8s
13,2023-01-15 21:00:40.857693,2023-01-15 21:00:50.219,9.09,0.0443,0.0403,9.361307,9.0,9.1343,45_0.05_k8s
14,2023-01-15 21:00:41.026512,2023-01-15 21:00:50.230,9.29,0.0467,0.0412,9.203488,9.0,9.336699999999999,45_0.05_k8s
15,2023-01-15 21:00:43.945601,2023-01-15 21:00:53.950,4.33,0.0458,0.0343,10.004399,10.0,4.3758,45_0.05_k8s
16,2023-01-15 21:00:44.098099,2023-01-15 21:00:57.665,13.6,0.0404,0.0445,13.566901,14.0,13.6404,45_0.05_k8s
17,2023-01-15 21:00:46.749252,2023-01-15 21:00:57.674,13.4,0.0400,0.0515,10.924748,11.0,13.44,45_0.05_k8s
18,2023-01-15 21:00:49.521873,2023-01-15 21:00:59.810,12.9,0.0453,0.0351,10.288127,10.0,12.9453,45_0.05_k8s
19,2023-01-15 21:00:53.060194,2023-01-15 21:01:12.635,13.0,0.0448,0.0316,19.574806,20.0,13.0448,45_0.05_k8s
20,2023-01-15 21:00:54.875697,2023-01-15 21:01:12.977,14.4,0.0483,0.0348,18.101303,18.0,14.4483,45_0.05_k8s
21,2023-01-15 21:00:58.092385,2023-01-15 21:01:13.352,14.8,0.0442,0.0351,15.259615,15.0,14.8442,45_0.05_k8s
22,2023-01-15 21:00:59.543883,2023-01-15 21:01:13.395,14.8,0.0410,0.0338,13.851117,14.0,14.841000000000001,45_0.05_k8s
23,2023-01-15 21:01:01.023225,2023-01-15 21:01:25.729,21.4,0.0552,0.0659,24.705775,25.0,21.455199999999998,45_0.05_k8s
24,2023-01-15 21:01:04.284220,2023-01-15 21:01:25.734,24.7,0.0661,0.0786,21.44978,21.0,24.766099999999998,45_0.05_k8s
25,2023-01-15 21:01:04.535993,2023-01-15 21:01:26.048,21.4,0.0398,0.0435,21.512007,22.0,21.439799999999998,45_0.05_k8s
26,2023-01-15 21:01:09.862000,2023-01-15 21:01:26.072,16.1,0.0465,0.0409,16.21,16.0,16.146500000000003,45_0.05_k8s
27,2023-01-15 21:01:10.177153,2023-01-15 21:01:36.504,4.29,0.0406,0.0315,26.326847,26.0,4.3306000000000004,45_0.05_k8s
28,2023-01-15 21:01:11.543026,2023-01-15 21:01:36.904,4.28,0.0426,0.0314,25.360974,25.0,4.3226,45_0.05_k8s
29,2023-01-15 21:01:12.721497,2023-01-15 21:01:38.464,28.3,0.0405,0.0416,25.742503,26.0,28.340500000000002,45_0.05_k8s
30,2023-01-15 21:01:17.256425,2023-01-15 21:01:38.991,6.65,0.0494,0.0630,21.734575,22.0,6.699400000000001,45_0.05_k8s
31,2023-01-15 21:01:18.480653,2023-01-15 21:01:39.106,26.3,0.0826,0.0568,20.625347,21.0,26.3826,45_0.05_k8s
32,2023-01-15 21:01:21.028127,2023-01-15 21:01:39.197,21.7,0.1096,0.0733,18.168873,18.0,21.8096,45_0.05_k8s
33,2023-01-15 21:01:21.668829,2023-01-15 21:01:39.222,6.63,0.1161,0.0711,17.553171,18.0,6.7461,45_0.05_k8s
34,2023-01-15 21:01:22.565459,2023-01-15 21:01:39.208,27.5,0.1338,0.0749,16.642541,17.0,27.6338,45_0.05_k8s
35,2023-01-15 21:01:23.061179,2023-01-15 21:01:40.711,6.19,0.0433,0.0303,17.649821,18.0,6.233300000000001,45_0.05_k8s
36,2023-01-15 21:01:23.151095,2023-01-15 21:01:41.013,6.05,0.0443,0.0299,17.861905,18.0,6.0943,45_0.05_k8s
37,2023-01-15 21:01:32.127231,2023-01-15 21:01:46.789,8.36,0.0407,0.0364,14.661769,15.0,8.400699999999999,45_0.05_k8s
38,2023-01-15 21:01:32.259009,2023-01-15 21:01:46.896,7.92,0.0405,0.0316,14.636991,15.0,7.9605,45_0.05_k8s
39,2023-01-15 21:01:32.415987,2023-01-15 21:01:51.170,32.6,0.0452,0.0458,18.754013,19.0,32.6452,45_0.05_k8s
40,2023-01-15 21:01:32.526730,2023-01-15 21:01:51.476,28.8,0.0382,0.0331,18.94927,19.0,28.8382,45_0.05_k8s
41,2023-01-15 21:01:34.444591,2023-01-15 21:01:51.602,30.6,0.0350,0.0292,17.157409,17.0,30.635,45_0.05_k8s
42,2023-01-15 21:01:34.869007,2023-01-15 21:01:51.852,30.1,0.0435,0.0350,16.982993,17.0,30.143500000000003,45_0.05_k8s
43,2023-01-15 21:01:38.359125,2023-01-15 21:01:58.219,35.1,0.0411,0.0398,19.859875,20.0,35.1411,45_0.05_k8s
44,2023-01-15 21:01:38.872740,2023-01-15 21:01:58.362,35.1,0.0387,0.0344,19.48926,19.0,35.1387,45_0.05_k8s
