Time,seconds,memory_used,memory_requested,cpu_used,cpu_requested,pod_count,throughput
16/01/2023 12:46,0,2796253,2569788,0.032,4,4,0
16/01/2023 12:46,10,4920955,4535074,0.0588,2.5,4,0.675675676
16/01/2023 12:46,20,4705993,4272931,0.128,2.5,4,0.675675676
16/01/2023 12:46,30,4722830,4316676,0.151,2.5,4,1.351351351
16/01/2023 12:46,40,3205152,3032900,0.154,2.5,4,2.027027027
16/01/2023 12:47,50,7326499,6981853,0.531,2.5,4,2.027027027
16/01/2023 12:47,60,8235912,7836808,0.594,2.5,4,0.675675676
16/01/2023 12:47,70,8414717,7990772,0.657,3.5,5,2.027027027
16/01/2023 12:47,80,11898055,8534241,0.906,3.5,5,5.405405405
16/01/2023 12:47,90,17250036,10353678,1.2,3.5,5,4.72972973
16/01/2023 12:47,100,21239526,13807418,1.71,5.5,5,2.702702703
16/01/2023 12:48,110,20304127,13719634,2.05,5.5,5,2.702702703
16/01/2023 12:48,120,20247148,7887776,2.42,5.5,5,4.72972973
16/01/2023 12:48,130,25117444,13130713,2.79,6.5,8,0
16/01/2023 12:48,140,27786464,18012800,2.98,6.5,8,0
