Time,seconds,memory_used,memory_requested,cpu_used,cpu_requested,pod_count,throughput
16/01/2023 12:28,0,1434275,1199169,0.0104,1.5,3,0
16/01/2023 12:28,10,1429762,1198069,0.0107,1.5,3,0
16/01/2023 12:28,20,1902734,1596224,0.0114,2.5,4,1
16/01/2023 12:28,30,2189698,1834459,0.0111,2.5,4,2
16/01/2023 12:28,40,1484393,1243577,0.0113,2.5,4,2
16/01/2023 12:28,50,1149718,962201,0.0134,2.5,4,3
16/01/2023 12:29,60,3415015,3187819,0.0153,2.5,4,3
16/01/2023 12:29,70,3724324,3547413,0.0206,2.5,4,4
16/01/2023 12:29,80,4619701,4400829,0.0238,2.5,4,4
16/01/2023 12:29,90,5278604,4931987,1.08,2.5,4,3
16/01/2023 12:29,100,6887064,6388707,1.28,2.5,4,4
16/01/2023 12:29,110,6701273,6423074,1.56,2.5,4,3
16/01/2023 12:30,120,6235255,5949741,1.83,2.5,4,5
16/01/2023 12:30,130,4989907,4730357,2.09,2.5,4,3
16/01/2023 12:30,140,9936013,6201493,2.23,9.5,7,5
16/01/2023 12:30,150,20296814,11762693,2.65,9.5,7,2
