cpu_used,cpu_requested,time,pod_count,memory_used,seconds,throughput
0.001964861017717491,2.5,2023-01-17 18:09:40,4,580413.8922699809,0,0
0.0009590801067119729,2.5,2023-01-17 18:09:50,4,834158.9906442692,10,0
0.1362881195721988,2.5,2023-01-17 18:10:00,4,2490070.0958742234,20,0.3333333333333333
0.1724391762591051,2.5,2023-01-17 18:10:10,4,2541129.970008225,30,0.9333333333333333
0.915853567065376,2.5,2023-01-17 18:10:20,4,9150141.397459054,40,0.8666666666666667
1.1607583863706314,2.5,2023-01-17 18:10:30,4,11768489.610604811,50,0.8666666666666667
1.2847453496953114,2.5,2023-01-17 18:10:40,4,12403474.996213328,60,1.2666666666666666
1.566102984241974,5.5,2023-01-17 18:10:50,7,11437064.940682547,70,1.5333333333333332
1.9919737225805156,5.5,2023-01-17 18:11:00,7,12672083.394738125,80,1.2
2.355066941930601,5.5,2023-01-17 18:11:10,7,18272686.79451434,90,1.8
1.6588382998588667,8.5,2023-01-17 18:11:20,7,21576591.42995881,100,1.7999999999999998
3.2859374908561856,8.5,2023-01-17 18:11:30,7,25261769.28813123,110,2.3333333333333335
3.026538295290181,8.5,2023-01-17 18:11:40,7,18595020.15343106,120,2.3333333333333335
