Time,seconds,memory_used,memory_requested,cpu_used,cpu_requested,pod_count,throughput
16/01/2023 13:42,0,14205635,13971995,0.017,2.5,4,0
16/01/2023 13:42,10,13013336,12816866,0.0158,2.5,4,0.675675676
16/01/2023 13:42,20,18372218,18086733,0.112,2.5,4,0.675675676
16/01/2023 13:42,30,25941728,25535154,0.195,2.5,4,1.351351351
16/01/2023 13:42,40,25978934,25570526,0.227,2.5,4,1.351351351
16/01/2023 13:43,50,17829458,17215824,0.779,2.5,4,0.675675676
16/01/2023 13:43,60,11797335,11184397,0.78,2.5,4,2.027027027
16/01/2023 13:43,70,11803220,11190282,0.785,2.5,4,1.351351351
16/01/2023 13:43,80,5554567,4855684,1.28,2.5,4,2.027027027
16/01/2023 13:43,90,8101635,7399901,1.57,2.5,4,2.702702703
16/01/2023 13:43,100,6634046,6021963,1.76,2.5,4,2.702702703
16/01/2023 13:44,110,11052494,10192733,2.53,2.5,4,4.054054054
16/01/2023 13:44,120,12418292,11757480,2.53,2.5,4,4.72972973
16/01/2023 13:44,130,14765678,14044868,2.36,5.5,7,2.702702703
16/01/2023 13:44,140,11868097,10910311,2.9,5.5,7,2.702702703
16/01/2023 13:44,150,9888875,8705638,3.07,5.5,7,0
16/01/2023 13:44,160,14884791,13695699,2.94,2.5,4,0
