,PT,frequency,pdf,cdf
0,4.0,2,0.044444444444444446,0.044444444444444446
1,5.0,4,0.08888888888888889,0.13333333333333333
2,6.0,1,0.022222222222222223,0.15555555555555556
3,7.0,2,0.044444444444444446,0.2
4,8.0,2,0.044444444444444446,0.24444444444444446
5,9.0,2,0.044444444444444446,0.2888888888888889
6,10.0,2,0.044444444444444446,0.33333333333333337
7,11.0,2,0.044444444444444446,0.3777777777777778
8,12.0,2,0.044444444444444446,0.4222222222222223
9,13.0,1,0.022222222222222223,0.4444444444444445
10,15.0,2,0.044444444444444446,0.48888888888888893
11,18.0,1,0.022222222222222223,0.5111111111111112
12,21.0,2,0.044444444444444446,0.5555555555555556
13,22.0,1,0.022222222222222223,0.5777777777777778
14,23.0,1,0.022222222222222223,0.6000000000000001
15,25.0,2,0.044444444444444446,0.6444444444444445
16,29.0,1,0.022222222222222223,0.6666666666666667
17,30.0,1,0.022222222222222223,0.688888888888889
18,31.0,1,0.022222222222222223,0.7111111111111112
19,32.0,1,0.022222222222222223,0.7333333333333335
20,36.0,3,0.06666666666666667,0.8000000000000002
21,37.0,1,0.022222222222222223,0.8222222222222224
22,40.0,1,0.022222222222222223,0.8444444444444447
23,41.0,1,0.022222222222222223,0.8666666666666669
24,42.0,1,0.022222222222222223,0.8888888888888892
25,45.0,2,0.044444444444444446,0.9333333333333336
26,47.0,1,0.022222222222222223,0.9555555555555558
27,50.0,2,0.044444444444444446,1.0000000000000002
