,PT,frequency,pdf,cdf
0,4.0,4,0.09523809523809523,0.09523809523809523
1,5.0,1,0.023809523809523808,0.11904761904761904
2,6.0,2,0.047619047619047616,0.16666666666666666
3,7.0,7,0.16666666666666666,0.3333333333333333
4,8.0,5,0.11904761904761904,0.45238095238095233
5,9.0,1,0.023809523809523808,0.47619047619047616
6,11.0,3,0.07142857142857142,0.5476190476190476
7,13.0,1,0.023809523809523808,0.5714285714285714
8,14.0,2,0.047619047619047616,0.6190476190476191
9,16.0,1,0.023809523809523808,0.6428571428571429
10,17.0,2,0.047619047619047616,0.6904761904761905
11,18.0,1,0.023809523809523808,0.7142857142857143
12,20.0,3,0.07142857142857142,0.7857142857142857
13,21.0,3,0.07142857142857142,0.8571428571428571
14,22.0,1,0.023809523809523808,0.8809523809523809
15,23.0,1,0.023809523809523808,0.9047619047619048
16,24.0,2,0.047619047619047616,0.9523809523809523
17,25.0,1,0.023809523809523808,0.9761904761904762
18,26.0,1,0.023809523809523808,1.0
