,PT,frequency,pdf,cdf
0,4.0,6,0.13953488372093023,0.13953488372093023
1,5.0,3,0.06976744186046512,0.20930232558139533
2,6.0,1,0.023255813953488372,0.2325581395348837
3,7.0,4,0.09302325581395349,0.3255813953488372
4,10.0,2,0.046511627906976744,0.37209302325581395
5,11.0,5,0.11627906976744186,0.4883720930232558
6,12.0,2,0.046511627906976744,0.5348837209302325
7,13.0,3,0.06976744186046512,0.6046511627906976
8,14.0,4,0.09302325581395349,0.6976744186046511
9,15.0,5,0.11627906976744186,0.8139534883720929
10,16.0,1,0.023255813953488372,0.8372093023255813
11,17.0,1,0.023255813953488372,0.8604651162790697
12,18.0,2,0.046511627906976744,0.9069767441860465
13,19.0,1,0.023255813953488372,0.9302325581395349
14,21.0,1,0.023255813953488372,0.9534883720930233
15,22.0,1,0.023255813953488372,0.9767441860465117
16,31.0,1,0.023255813953488372,1.0
