,PT,frequency,pdf,cdf
0,4.0,2,0.046511627906976744,0.046511627906976744
1,5.0,5,0.11627906976744186,0.16279069767441862
2,7.0,2,0.046511627906976744,0.20930232558139536
3,8.0,3,0.06976744186046512,0.27906976744186046
4,9.0,1,0.023255813953488372,0.3023255813953488
5,10.0,1,0.023255813953488372,0.3255813953488372
6,12.0,2,0.046511627906976744,0.37209302325581395
7,15.0,2,0.046511627906976744,0.41860465116279066
8,17.0,3,0.06976744186046512,0.4883720930232558
9,18.0,1,0.023255813953488372,0.5116279069767442
10,19.0,1,0.023255813953488372,0.5348837209302326
11,20.0,4,0.09302325581395349,0.627906976744186
12,21.0,2,0.046511627906976744,0.6744186046511628
13,22.0,2,0.046511627906976744,0.7209302325581395
14,23.0,4,0.09302325581395349,0.8139534883720929
15,24.0,2,0.046511627906976744,0.8604651162790696
16,25.0,2,0.046511627906976744,0.9069767441860463
17,26.0,1,0.023255813953488372,0.9302325581395348
18,28.0,1,0.023255813953488372,0.9534883720930232
19,29.0,1,0.023255813953488372,0.9767441860465116
20,30.0,1,0.023255813953488372,1.0
