,PT,frequency,pdf,cdf
0,4.0,2,0.045454545454545456,0.045454545454545456
1,5.0,2,0.045454545454545456,0.09090909090909091
2,7.0,6,0.13636363636363635,0.22727272727272727
3,8.0,1,0.022727272727272728,0.25
4,10.0,3,0.06818181818181818,0.3181818181818182
5,11.0,2,0.045454545454545456,0.36363636363636365
6,13.0,1,0.022727272727272728,0.38636363636363635
7,14.0,1,0.022727272727272728,0.40909090909090906
8,16.0,1,0.022727272727272728,0.43181818181818177
9,17.0,1,0.022727272727272728,0.4545454545454545
10,20.0,1,0.022727272727272728,0.4772727272727272
11,21.0,2,0.045454545454545456,0.5227272727272726
12,22.0,1,0.022727272727272728,0.5454545454545453
13,23.0,3,0.06818181818181818,0.6136363636363635
14,28.0,1,0.022727272727272728,0.6363636363636362
15,29.0,2,0.045454545454545456,0.6818181818181817
16,31.0,1,0.022727272727272728,0.7045454545454544
17,33.0,1,0.022727272727272728,0.7272727272727271
18,34.0,1,0.022727272727272728,0.7499999999999998
19,35.0,1,0.022727272727272728,0.7727272727272725
20,36.0,2,0.045454545454545456,0.8181818181818179
21,37.0,1,0.022727272727272728,0.8409090909090906
22,41.0,1,0.022727272727272728,0.8636363636363633
23,45.0,1,0.022727272727272728,0.886363636363636
24,47.0,4,0.09090909090909091,0.977272727272727
25,48.0,1,0.022727272727272728,0.9999999999999997
