,PT,frequency,pdf,cdf
0,4.0,5,0.11363636363636363,0.11363636363636363
1,5.0,1,0.022727272727272728,0.13636363636363635
2,6.0,1,0.022727272727272728,0.1590909090909091
3,7.0,1,0.022727272727272728,0.18181818181818182
4,8.0,1,0.022727272727272728,0.20454545454545456
5,9.0,3,0.06818181818181818,0.2727272727272727
6,11.0,2,0.045454545454545456,0.3181818181818182
7,12.0,1,0.022727272727272728,0.3409090909090909
8,13.0,2,0.045454545454545456,0.38636363636363635
9,14.0,2,0.045454545454545456,0.4318181818181818
10,15.0,3,0.06818181818181818,0.5
11,16.0,1,0.022727272727272728,0.5227272727272727
12,17.0,1,0.022727272727272728,0.5454545454545454
13,18.0,1,0.022727272727272728,0.5681818181818181
14,19.0,2,0.045454545454545456,0.6136363636363635
15,20.0,3,0.06818181818181818,0.6818181818181817
16,21.0,2,0.045454545454545456,0.7272727272727271
17,22.0,1,0.022727272727272728,0.7499999999999998
18,23.0,2,0.045454545454545456,0.7954545454545452
19,24.0,4,0.09090909090909091,0.8863636363636361
20,26.0,1,0.022727272727272728,0.9090909090909088
21,29.0,1,0.022727272727272728,0.9318181818181815
22,30.0,1,0.022727272727272728,0.9545454545454543
23,31.0,1,0.022727272727272728,0.977272727272727
24,33.0,1,0.022727272727272728,0.9999999999999997
