,PT,frequency,pdf,cdf
0,4.0,4,0.08888888888888889,0.08888888888888889
1,5.0,3,0.06666666666666667,0.15555555555555556
2,6.0,8,0.17777777777777778,0.33333333333333337
3,7.0,6,0.13333333333333333,0.4666666666666667
4,9.0,1,0.022222222222222223,0.4888888888888889
5,10.0,1,0.022222222222222223,0.5111111111111111
6,11.0,2,0.044444444444444446,0.5555555555555555
7,12.0,4,0.08888888888888889,0.6444444444444444
8,13.0,1,0.022222222222222223,0.6666666666666666
9,14.0,3,0.06666666666666667,0.7333333333333333
10,15.0,1,0.022222222222222223,0.7555555555555555
11,17.0,1,0.022222222222222223,0.7777777777777778
12,18.0,3,0.06666666666666667,0.8444444444444444
13,19.0,1,0.022222222222222223,0.8666666666666667
14,20.0,1,0.022222222222222223,0.888888888888889
15,25.0,2,0.044444444444444446,0.9333333333333333
16,28.0,3,0.06666666666666667,1.0
