,PT,frequency,pdf,cdf
0,4.0,1,0.022222222222222223,0.022222222222222223
1,5.0,2,0.044444444444444446,0.06666666666666667
2,6.0,1,0.022222222222222223,0.08888888888888889
3,7.0,2,0.044444444444444446,0.13333333333333333
4,8.0,2,0.044444444444444446,0.17777777777777778
5,9.0,4,0.08888888888888889,0.26666666666666666
6,10.0,1,0.022222222222222223,0.28888888888888886
7,11.0,3,0.06666666666666667,0.3555555555555555
8,12.0,1,0.022222222222222223,0.3777777777777777
9,15.0,1,0.022222222222222223,0.3999999999999999
10,16.0,1,0.022222222222222223,0.4222222222222221
11,17.0,2,0.044444444444444446,0.46666666666666656
12,21.0,1,0.022222222222222223,0.48888888888888876
13,22.0,4,0.08888888888888889,0.5777777777777776
14,23.0,2,0.044444444444444446,0.622222222222222
15,24.0,1,0.022222222222222223,0.6444444444444443
16,29.0,1,0.022222222222222223,0.6666666666666665
17,30.0,1,0.022222222222222223,0.6888888888888888
18,32.0,1,0.022222222222222223,0.711111111111111
19,33.0,1,0.022222222222222223,0.7333333333333333
20,34.0,1,0.022222222222222223,0.7555555555555555
21,37.0,3,0.06666666666666667,0.8222222222222222
22,38.0,1,0.022222222222222223,0.8444444444444444
23,39.0,1,0.022222222222222223,0.8666666666666667
24,42.0,1,0.022222222222222223,0.888888888888889
25,45.0,1,0.022222222222222223,0.9111111111111112
26,46.0,1,0.022222222222222223,0.9333333333333335
27,50.0,1,0.022222222222222223,0.9555555555555557
28,51.0,2,0.044444444444444446,1.0000000000000002
