,PT,frequency,pdf,cdf
0,4.0,10,0.21739130434782608,0.21739130434782608
1,5.0,2,0.043478260869565216,0.2608695652173913
2,6.0,4,0.08695652173913043,0.34782608695652173
3,7.0,2,0.043478260869565216,0.3913043478260869
4,8.0,1,0.021739130434782608,0.4130434782608695
5,9.0,4,0.08695652173913043,0.49999999999999994
6,10.0,3,0.06521739130434782,0.5652173913043478
7,11.0,2,0.043478260869565216,0.608695652173913
8,13.0,4,0.08695652173913043,0.6956521739130435
9,14.0,1,0.021739130434782608,0.717391304347826
10,15.0,4,0.08695652173913043,0.8043478260869565
11,16.0,3,0.06521739130434782,0.8695652173913043
12,17.0,3,0.06521739130434782,0.9347826086956521
13,21.0,3,0.06521739130434782,0.9999999999999999
