,PT,frequency,pdf,cdf
0,4.0,4,0.0851063829787234,0.0851063829787234
1,5.0,3,0.06382978723404255,0.14893617021276595
2,6.0,3,0.06382978723404255,0.21276595744680848
3,7.0,2,0.0425531914893617,0.2553191489361702
4,8.0,2,0.0425531914893617,0.2978723404255319
5,11.0,1,0.02127659574468085,0.3191489361702127
6,12.0,7,0.14893617021276595,0.4680851063829787
7,13.0,2,0.0425531914893617,0.5106382978723404
8,14.0,2,0.0425531914893617,0.553191489361702
9,15.0,3,0.06382978723404255,0.6170212765957446
10,16.0,2,0.0425531914893617,0.6595744680851062
11,17.0,1,0.02127659574468085,0.6808510638297871
12,18.0,5,0.10638297872340426,0.7872340425531914
13,19.0,2,0.0425531914893617,0.8297872340425531
14,20.0,1,0.02127659574468085,0.8510638297872339
15,21.0,3,0.06382978723404255,0.9148936170212765
16,23.0,3,0.06382978723404255,0.978723404255319
17,24.0,1,0.02127659574468085,0.9999999999999999
