,PT,frequency,pdf,cdf
0,6.0,2,0.028985507246376812,0.028985507246376812
1,7.0,1,0.014492753623188406,0.043478260869565216
2,8.0,1,0.014492753623188406,0.057971014492753624
3,9.0,1,0.014492753623188406,0.07246376811594203
4,10.0,1,0.014492753623188406,0.08695652173913043
5,11.0,2,0.028985507246376812,0.11594202898550725
6,13.0,3,0.043478260869565216,0.15942028985507245
7,14.0,4,0.057971014492753624,0.21739130434782608
8,15.0,3,0.043478260869565216,0.2608695652173913
9,16.0,3,0.043478260869565216,0.30434782608695654
10,17.0,4,0.057971014492753624,0.36231884057971014
11,18.0,11,0.15942028985507245,0.5217391304347826
12,19.0,11,0.15942028985507245,0.681159420289855
13,20.0,8,0.11594202898550725,0.7971014492753622
14,21.0,6,0.08695652173913043,0.8840579710144927
15,22.0,1,0.014492753623188406,0.898550724637681
16,23.0,1,0.014492753623188406,0.9130434782608694
17,24.0,3,0.043478260869565216,0.9565217391304346
18,25.0,1,0.014492753623188406,0.971014492753623
19,29.0,1,0.014492753623188406,0.9855072463768113
20,30.0,1,0.014492753623188406,0.9999999999999997
