,PT,frequency,pdf,cdf
0,4.0,6,0.16666666666666666,0.16666666666666666
1,5.0,5,0.1388888888888889,0.3055555555555556
2,6.0,4,0.1111111111111111,0.4166666666666667
3,7.0,4,0.1111111111111111,0.5277777777777778
4,8.0,3,0.08333333333333333,0.6111111111111112
5,9.0,1,0.027777777777777776,0.638888888888889
6,10.0,1,0.027777777777777776,0.6666666666666667
7,13.0,1,0.027777777777777776,0.6944444444444445
8,16.0,1,0.027777777777777776,0.7222222222222223
9,19.0,2,0.05555555555555555,0.7777777777777779
10,21.0,1,0.027777777777777776,0.8055555555555557
11,23.0,2,0.05555555555555555,0.8611111111111113
12,24.0,2,0.05555555555555555,0.9166666666666669
13,27.0,1,0.027777777777777776,0.9444444444444446
14,28.0,2,0.05555555555555555,1.0000000000000002
