,PT,frequency,pdf,cdf
0,4.0,1,0.011235955056179775,0.011235955056179775
1,5.0,3,0.033707865168539325,0.0449438202247191
2,6.0,2,0.02247191011235955,0.06741573033707865
3,8.0,1,0.011235955056179775,0.07865168539325842
4,9.0,1,0.011235955056179775,0.0898876404494382
5,13.0,1,0.011235955056179775,0.10112359550561797
6,14.0,8,0.0898876404494382,0.19101123595505617
7,15.0,3,0.033707865168539325,0.2247191011235955
8,16.0,10,0.11235955056179775,0.33707865168539325
9,17.0,13,0.14606741573033707,0.4831460674157303
10,18.0,16,0.1797752808988764,0.6629213483146067
11,19.0,9,0.10112359550561797,0.7640449438202247
12,20.0,5,0.056179775280898875,0.8202247191011236
13,21.0,5,0.056179775280898875,0.8764044943820225
14,22.0,1,0.011235955056179775,0.8876404494382023
15,24.0,1,0.011235955056179775,0.8988764044943821
16,27.0,2,0.02247191011235955,0.9213483146067416
17,28.0,1,0.011235955056179775,0.9325842696629214
18,29.0,1,0.011235955056179775,0.9438202247191012
19,42.0,1,0.011235955056179775,0.955056179775281
20,43.0,2,0.02247191011235955,0.9775280898876406
21,44.0,1,0.011235955056179775,0.9887640449438204
22,45.0,1,0.011235955056179775,1.0000000000000002
