,PT,frequency,pdf,cdf
0,5.0,6,0.15,0.15
1,6.0,4,0.1,0.25
2,7.0,2,0.05,0.3
3,8.0,5,0.125,0.425
4,9.0,3,0.075,0.5
5,10.0,2,0.05,0.55
6,12.0,1,0.025,0.5750000000000001
7,13.0,1,0.025,0.6000000000000001
8,14.0,1,0.025,0.6250000000000001
9,15.0,1,0.025,0.6500000000000001
10,16.0,1,0.025,0.6750000000000002
11,17.0,3,0.075,0.7500000000000001
12,18.0,1,0.025,0.7750000000000001
13,20.0,1,0.025,0.8000000000000002
14,21.0,2,0.05,0.8500000000000002
15,25.0,1,0.025,0.8750000000000002
16,27.0,2,0.05,0.9250000000000003
17,28.0,2,0.05,0.9750000000000003
18,29.0,1,0.025,1.0000000000000002
