,PT,frequency,pdf,cdf
0,6.0,3,0.06666666666666667,0.06666666666666667
1,7.0,2,0.044444444444444446,0.1111111111111111
2,8.0,1,0.022222222222222223,0.13333333333333333
3,9.0,1,0.022222222222222223,0.15555555555555556
4,10.0,3,0.06666666666666667,0.2222222222222222
5,11.0,4,0.08888888888888889,0.3111111111111111
6,12.0,6,0.13333333333333333,0.4444444444444444
7,13.0,2,0.044444444444444446,0.4888888888888889
8,14.0,2,0.044444444444444446,0.5333333333333333
9,16.0,2,0.044444444444444446,0.5777777777777777
10,17.0,5,0.1111111111111111,0.6888888888888889
11,18.0,7,0.15555555555555556,0.8444444444444444
12,19.0,1,0.022222222222222223,0.8666666666666667
13,21.0,4,0.08888888888888889,0.9555555555555556
14,22.0,1,0.022222222222222223,0.9777777777777779
15,24.0,1,0.022222222222222223,1.0
