,PT,frequency,pdf,cdf
0,4.0,8,0.1951219512195122,0.1951219512195122
1,5.0,8,0.1951219512195122,0.3902439024390244
2,6.0,7,0.17073170731707318,0.5609756097560976
3,7.0,3,0.07317073170731707,0.6341463414634146
4,8.0,2,0.04878048780487805,0.6829268292682927
5,10.0,1,0.024390243902439025,0.7073170731707318
6,11.0,1,0.024390243902439025,0.7317073170731708
7,13.0,1,0.024390243902439025,0.7560975609756099
8,14.0,1,0.024390243902439025,0.7804878048780489
9,16.0,2,0.04878048780487805,0.829268292682927
10,18.0,2,0.04878048780487805,0.8780487804878051
11,21.0,1,0.024390243902439025,0.9024390243902441
12,22.0,1,0.024390243902439025,0.9268292682926832
13,23.0,1,0.024390243902439025,0.9512195121951222
14,24.0,1,0.024390243902439025,0.9756097560975613
15,27.0,1,0.024390243902439025,1.0000000000000002
