,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
7,8,2022-08-31 18:40:24.692,2022-08-31 18:40:29.691,4.748,0.0392,4,4.7872,-0.7872000000000003
2,3,2022-08-31 18:40:24.653,2022-08-31 18:40:35.023,4.717,0.0487,10,4.7657,5.2343
4,5,2022-08-31 18:40:24.666,2022-08-31 18:40:39.864,4.700,0.0463,15,4.7463,10.2537
8,9,2022-08-31 18:40:24.700,2022-08-31 18:40:44.538,4.600,0.0393,19,4.6392999999999995,14.360700000000001
1,2,2022-08-31 18:40:24.642,2022-08-31 18:40:49.851,4.535,0.0401,25,4.5751,20.4249
0,1,2022-08-31 18:40:24.636,2022-08-31 18:40:55.185,4.515,0.0424,30,4.5573999999999995,25.4426
5,6,2022-08-31 18:40:24.673,2022-08-31 18:41:00.608,4.558,0.0422,35,4.6002,30.3998
9,10,2022-08-31 18:40:24.712,2022-08-31 18:41:05.359,4.593,0.0425,40,4.6355,35.3645
6,7,2022-08-31 18:40:24.680,2022-08-31 18:41:10.027,4.593,0.0408,45,4.6338,40.3662
3,4,2022-08-31 18:40:24.659,2022-08-31 18:41:15.403,4.541,0.0395,50,4.580500000000001,45.4195
