,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
4,5,2022-08-31 18:13:23.106,2022-08-31 18:13:28.562,4.566,0.0539,5,4.6198999999999995,0.38010000000000055
5,6,2022-08-31 18:13:23.121,2022-08-31 18:13:33.609,4.556,0.0390,10,4.595,5.405
2,3,2022-08-31 18:13:23.089,2022-08-31 18:13:38.469,4.588,0.0398,15,4.6278,10.3722
9,10,2022-08-31 18:13:23.156,2022-08-31 18:13:44.233,4.699,0.0389,21,4.7379,16.2621
0,1,2022-08-31 18:13:23.075,2022-08-31 18:13:49.124,4.730,0.0460,26,4.776000000000001,21.224
1,2,2022-08-31 18:13:23.081,2022-08-31 18:13:54.223,4.767,0.0411,31,4.8081000000000005,26.1919
8,9,2022-08-31 18:13:23.148,2022-08-31 18:13:58.867,4.554,0.0435,35,4.5975,30.4025
3,4,2022-08-31 18:13:23.098,2022-08-31 18:14:03.567,4.518,0.0499,40,4.5679,35.4321
7,8,2022-08-31 18:13:23.142,2022-08-31 18:14:08.306,4.740,0.0463,45,4.7863,40.2137
6,7,2022-08-31 18:13:23.135,2022-08-31 18:14:13.047,4.672,0.0436,49,4.715599999999999,44.2844
