,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2022-12-06 07:58:14.427175,2022-12-06 07:58:18.842,4.1933,0.0432,4,4.2364999999999995,-0.2364999999999995,30_5_k8s_hpa_only
1,2022-12-06 07:58:14.430870,2022-12-06 07:58:23.897,4.1403,0.0377,9,4.178,4.822,30_5_k8s_hpa_only
2,2022-12-06 07:58:14.434374,2022-12-06 07:58:29.048,4.1378,0.0383,14,4.1761,9.8239,30_5_k8s_hpa_only
3,2022-12-06 07:58:14.437930,2022-12-06 07:58:33.234,4.1018,0.0412,18,4.143,13.857,30_5_k8s_hpa_only
4,2022-12-06 07:58:14.441433,2022-12-06 07:58:37.762,4.2014,0.0373,23,4.2387,18.7613,30_5_k8s_hpa_only
5,2022-12-06 07:58:14.461483,2022-12-06 07:58:43.320,4.1334,0.0358,28,4.1692,23.8308,30_5_k8s_hpa_only
6,2022-12-06 07:58:14.466285,2022-12-06 07:58:48.764,4.1681,0.0429,34,4.211,29.789,30_5_k8s_hpa_only
7,2022-12-06 07:58:14.470026,2022-12-06 07:58:53.043,4.2003,0.0454,38,4.2457,33.7543,30_5_k8s_hpa_only
8,2022-12-06 07:58:14.473615,2022-12-06 07:58:57.856,4.1200,0.0365,43,4.1565,38.8435,30_5_k8s_hpa_only
9,2022-12-06 07:58:14.477159,2022-12-06 07:59:05.163,4.1336,0.0370,50,4.1706,45.8294,30_5_k8s_hpa_only
