,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2023-01-07 17:29:44.198773,2023-01-07 17:29:48.833,4.5839,0.4232,4,5.007099999999999,-1.0070999999999994,3_0.1_k8s_k8s
1,2023-01-07 17:29:47.310415,2023-01-07 17:29:52.865,5.4949,0.0900,5,5.5849,-0.5849000000000002,3_0.1_k8s_k8s
2,2023-01-07 17:29:54.163132,2023-01-07 17:29:58.635,4.4103,0.0415,4,4.4518,-0.4518000000000004,3_0.1_k8s_k8s
3,2023-01-07 17:29:56.615468,2023-01-07 17:30:03.706,7.0269,0.0388,7,7.0657000000000005,-0.06570000000000054,3_0.1_k8s_k8s
4,2023-01-07 17:30:00.146891,2023-01-07 17:30:06.237,6.0226,0.0586,6,6.0812,-0.08119999999999994,3_0.1_k8s_k8s
5,2023-01-07 17:30:04.162831,2023-01-07 17:30:13.438,9.2688,0.0856,9,9.3544,-0.35440000000000005,3_0.1_k8s_k8s
6,2023-01-07 17:30:06.244781,2023-01-07 17:30:13.607,7.3375,0.0642,7,7.4017,-0.40169999999999995,3_0.1_k8s_k8s
7,2023-01-07 17:30:08.731825,2023-01-07 17:30:17.430,4.2571,0.0421,8,4.2992,3.7008,3_0.1_k8s_k8s
8,2023-01-07 17:30:10.536837,2023-01-07 17:30:20.432,4.3557,0.0371,9,4.392799999999999,4.607200000000001,3_0.1_k8s_k8s
9,2023-01-07 17:30:12.241977,2023-01-07 17:30:20.905,12.113,0.0428,8,12.1558,-4.155799999999999,3_0.1_k8s_k8s
10,2023-01-07 17:30:13.114149,2023-01-07 17:30:21.143,10.573,0.0410,8,10.614,-2.6140000000000008,3_0.1_k8s_k8s
11,2023-01-07 17:30:16.014711,2023-01-07 17:30:24.305,11.999,0.0654,8,12.064400000000001,-4.064400000000001,3_0.1_k8s_k8s
12,2023-01-07 17:30:17.416400,2023-01-07 17:30:27.030,9.5407,0.0765,9,9.617199999999999,-0.6171999999999986,3_0.1_k8s_k8s
13,2023-01-07 17:30:19.493447,2023-01-07 17:30:27.813,8.2802,0.0812,8,8.361400000000001,-0.3614000000000015,3_0.1_k8s_k8s
14,2023-01-07 17:30:20.569460,2023-01-07 17:30:27.921,7.2680,0.0719,7,7.3399,-0.3399000000000001,3_0.1_k8s_k8s
15,2023-01-07 17:30:24.630673,2023-01-07 17:30:31.394,6.6343,0.1107,6,6.744999999999999,-0.7449999999999992,3_0.1_k8s_k8s
16,2023-01-07 17:30:26.675098,2023-01-07 17:30:34.559,4.5793,0.0415,7,4.6208,2.3792,3_0.1_k8s_k8s
17,2023-01-07 17:30:27.404182,2023-01-07 17:30:34.923,8.2511,0.0352,7,8.286299999999999,-1.2862999999999989,3_0.1_k8s_k8s
18,2023-01-07 17:30:29.929453,2023-01-07 17:30:35.062,7.5918,0.0374,5,7.6292,-2.6292,3_0.1_k8s_k8s
19,2023-01-07 17:30:32.676440,2023-01-07 17:30:37.040,4.3070,0.0396,4,4.3466000000000005,-0.34660000000000046,3_0.1_k8s_k8s
20,2023-01-07 17:30:35.708883,2023-01-07 17:30:40.150,4.4133,0.0719,4,4.4852,-0.48519999999999985,3_0.1_k8s_k8s
21,2023-01-07 17:30:39.245316,2023-01-07 17:30:43.988,4.6794,0.0513,4,4.730700000000001,-0.7307000000000006,3_0.1_k8s_k8s
22,2023-01-07 17:30:39.654663,2023-01-07 17:30:44.815,4.3206,0.0570,5,4.3776,0.6223999999999998,3_0.1_k8s_k8s
23,2023-01-07 17:30:40.406390,2023-01-07 17:30:46.881,7.2030,0.0468,6,7.2498000000000005,-1.2498000000000005,3_0.1_k8s_k8s
24,2023-01-07 17:30:40.414168,2023-01-07 17:30:47.003,6.5078,0.0361,6,6.5439,-0.5438999999999998,3_0.1_k8s_k8s
