,intime,outtime,aeneas,tocloud,TPT,FET,Waiting time,scenario
0,2022-12-06 16:52:41.817754,2022-12-06 16:52:46.160,4.1107,0.0377,4,4.1484,-0.14839999999999964,5_5_async_k8s_hpa_only
1,2022-12-06 16:52:41.838687,2022-12-06 16:52:51.056,4.0829,0.0394,9,4.1223,4.8777,5_5_async_k8s_hpa_only
2,2022-12-06 16:52:41.841818,2022-12-06 16:52:56.424,4.0918,0.0709,14,4.1627,9.837299999999999,5_5_async_k8s_hpa_only
3,2022-12-06 16:52:41.845285,2022-12-06 16:53:01.363,4.0894,0.0414,19,4.130800000000001,14.8692,5_5_async_k8s_hpa_only
4,2022-12-06 16:52:41.848783,2022-12-06 16:53:05.539,4.0920,0.0376,23,4.1296,18.8704,5_5_async_k8s_hpa_only
5,2022-12-06 16:52:41.852252,2022-12-06 16:53:09.926,4.1714,0.0464,28,4.2178,23.7822,5_5_async_k8s_hpa_only
6,2022-12-06 16:52:41.855641,2022-12-06 16:53:14.570,4.0988,0.0434,32,4.1422,27.8578,5_5_async_k8s_hpa_only
7,2022-12-06 16:52:41.859006,2022-12-06 16:53:19.224,4.4135,0.1227,37,4.5362,32.4638,5_5_async_k8s_hpa_only
8,2022-12-06 16:52:41.862584,2022-12-06 16:53:23.758,4.4437,0.0371,41,4.4807999999999995,36.5192,5_5_async_k8s_hpa_only
9,2022-12-06 16:52:41.866121,2022-12-06 16:53:28.267,4.4180,0.0617,46,4.4797,41.5203,5_5_async_k8s_hpa_only
