,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-02 09:59:27.770,2022-09-02 09:59:33.402, 5.32,0.0402,5,5.3602,-0.36019999999999985
1,2,2022-09-02 09:59:27.775,2022-09-02 09:59:33.575, 5.00,0.0372,5,5.0372,-0.037200000000000344
2,3,2022-09-02 09:59:27.781,2022-09-02 09:59:34.760, 5.33,0.0393,6,5.3693,0.6307
3,4,2022-09-02 09:59:27.788,2022-09-02 09:59:38.616, 5.14,0.0429,10,5.1829,4.8171
4,5,2022-09-02 09:59:27.795,2022-09-02 09:59:39.182, 5.13,0.0466,11,5.1766,5.8234
5,6,2022-09-02 09:59:27.802,2022-09-02 09:59:39.975, 5.09,0.0375,12,5.1274999999999995,6.8725000000000005
6,7,2022-09-02 09:59:27.810,2022-09-02 09:59:43.695, 5.01,0.0470,15,5.0569999999999995,9.943000000000001
7,8,2022-09-02 09:59:27.819,2022-09-02 09:59:44.754, 5.45,0.0383,16,5.488300000000001,10.5117
8,9,2022-09-02 09:59:27.826,2022-09-02 09:59:45.366, 5.32,0.0375,17,5.3575,11.6425
9,10,2022-09-02 09:59:27.835,2022-09-02 09:59:48.704, 4.92,0.0383,20,4.9582999999999995,15.0417
