,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-02 13:07:46.634,2022-09-02 13:07:53.295, 5.07,0.0370,6,5.107,0.8929999999999998
1,2,2022-09-02 13:07:46.639,2022-09-02 13:07:54.249, 5.15,0.0349,7,5.184900000000001,1.8150999999999993
2,3,2022-09-02 13:07:46.652,2022-09-02 13:07:54.439, 5.33,0.0364,7,5.3664000000000005,1.6335999999999995
3,4,2022-09-02 13:07:46.662,2022-09-02 13:07:58.470, 5.07,0.0397,11,5.1097,5.8903
4,5,2022-09-02 13:07:46.670,2022-09-02 13:07:59.916, 5.06,0.0371,13,5.097099999999999,7.902900000000001
5,6,2022-09-02 13:07:46.684,2022-09-02 13:08:00.185, 5.29,0.0429,13,5.3329,7.6671
6,7,2022-09-02 13:07:46.690,2022-09-02 13:08:03.682, 5.13,0.0370,16,5.167,10.833
7,8,2022-09-02 13:07:46.697,2022-09-02 13:08:05.166, 5.18,0.0588,18,5.2387999999999995,12.7612
8,9,2022-09-02 13:07:46.704,2022-09-02 13:08:05.442, 5.16,0.0362,18,5.1962,12.803799999999999
9,10,2022-09-02 13:07:46.713,2022-09-02 13:08:08.515, 4.77,0.0364,21,4.8064,16.1936
