,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 07:46:20.124,2022-09-01 07:46:25.389,4.532,0.1644,5,4.6964,0.3036000000000003
1,2,2022-09-01 07:46:20.131,2022-09-01 07:46:30.244,4.541,0.0654,10,4.606400000000001,5.393599999999999
2,3,2022-09-01 07:46:20.138,2022-09-01 07:46:35.041,4.740,0.0697,14,4.8097,9.1903
3,4,2022-09-01 07:46:20.144,2022-09-01 07:46:39.681,4.534,0.0387,19,4.5727,14.427299999999999
4,5,2022-09-01 07:46:20.152,2022-09-01 07:46:44.728,4.579,0.0348,24,4.6137999999999995,19.386200000000002
5,6,2022-09-01 07:46:20.160,2022-09-01 07:46:50.492,4.739,0.0370,30,4.776,25.224
6,7,2022-09-01 07:46:20.172,2022-09-01 07:46:55.134,4.577,0.0382,34,4.6152,29.3848
7,8,2022-09-01 07:46:20.179,2022-09-01 07:46:59.929,4.730,0.0389,39,4.7689,34.2311
8,9,2022-09-01 07:46:20.188,2022-09-01 07:47:04.833,4.691,0.0342,44,4.7252,39.2748
9,10,2022-09-01 07:46:20.196,2022-09-01 07:47:09.517,4.527,0.0402,49,4.5672,44.4328
10,11,2022-09-01 07:46:20.207,2022-09-01 07:47:14.381,4.656,0.0505,54,4.7065,49.2935
11,12,2022-09-01 07:46:20.215,2022-09-01 07:47:19.173,4.693,0.0328,58,4.7258,53.2742
12,13,2022-09-01 07:46:20.228,2022-09-01 07:47:24.603,4.678,0.0372,64,4.7152,59.2848
13,14,2022-09-01 07:46:20.240,2022-09-01 07:47:29.202,4.532,0.0394,68,4.5714,63.4286
14,15,2022-09-01 07:46:20.251,2022-09-01 07:47:34.862,4.563,0.0349,74,4.5979,69.4021
