,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 13:12:10.762,2022-09-01 13:12:16.669, 4.78,0.0417,5,4.8217,0.17830000000000013
1,2,2022-09-01 13:12:10.768,2022-09-01 13:12:21.413, 4.62,0.0435,10,4.6635,5.3365
2,3,2022-09-01 13:12:10.781,2022-09-01 13:12:26.186, 4.60,0.0405,15,4.640499999999999,10.3595
3,4,2022-09-01 13:12:10.787,2022-09-01 13:12:31.196, 4.56,0.0462,20,4.606199999999999,15.3938
4,5,2022-09-01 13:12:10.794,2022-09-01 13:12:36.053, 4.73,0.0386,25,4.7686,20.2314
5,6,2022-09-01 13:12:10.803,2022-09-01 13:12:40.886, 4.50,0.0352,30,4.5352,25.4648
6,7,2022-09-01 13:12:10.815,2022-09-01 13:12:45.542, 4.58,0.0397,34,4.6197,29.3803
7,8,2022-09-01 13:12:10.821,2022-09-01 13:12:50.475, 4.70,0.0428,39,4.7428,34.2572
8,9,2022-09-01 13:12:10.828,2022-09-01 13:12:55.400, 4.84,0.0399,44,4.8799,39.1201
9,10,2022-09-01 13:12:10.837,2022-09-01 13:13:00.066, 4.59,0.0351,49,4.6251,44.3749
10,11,2022-09-01 13:12:10.844,2022-09-01 13:13:04.687, 4.54,0.0331,53,4.5731,48.4269
11,12,2022-09-01 13:12:10.852,2022-09-01 13:13:09.289, 4.52,0.0387,58,4.5587,53.4413
12,13,2022-09-01 13:12:10.859,2022-09-01 13:13:14.383, 4.75,0.0342,63,4.7842,58.2158
13,14,2022-09-01 13:12:10.868,2022-09-01 13:13:19.742, 4.73,0.0475,68,4.777500000000001,63.2225
14,15,2022-09-01 13:12:10.876,2022-09-01 13:13:24.461, 4.64,0.0402,73,4.680199999999999,68.3198
