,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 13:04:54.212,2022-09-01 13:04:59.920, 4.73,0.0390,5,4.769,0.23099999999999987
1,2,2022-09-01 13:04:54.218,2022-09-01 13:05:04.854, 4.53,0.0365,10,4.5665000000000004,5.4334999999999996
2,3,2022-09-01 13:04:54.225,2022-09-01 13:05:09.520, 4.51,0.0385,15,4.5485,10.4515
3,4,2022-09-01 13:04:54.231,2022-09-01 13:05:14.275, 4.67,0.0422,20,4.7122,15.2878
4,5,2022-09-01 13:04:54.239,2022-09-01 13:05:18.959, 4.60,0.0400,24,4.64,19.36
5,6,2022-09-01 13:04:54.246,2022-09-01 13:05:24.184, 4.68,0.0426,29,4.7226,24.2774
6,7,2022-09-01 13:04:54.252,2022-09-01 13:05:28.821, 4.57,0.0395,34,4.609500000000001,29.3905
7,8,2022-09-01 13:04:54.261,2022-09-01 13:05:33.547, 4.60,0.0421,39,4.642099999999999,34.3579
8,9,2022-09-01 13:04:54.270,2022-09-01 13:05:38.232, 4.59,0.0374,43,4.6274,38.3726
9,10,2022-09-01 13:04:54.278,2022-09-01 13:05:43.154, 4.68,0.0394,48,4.719399999999999,43.2806
10,11,2022-09-01 13:04:54.287,2022-09-01 13:05:48.231, 4.68,0.0397,53,4.7197,48.2803
11,12,2022-09-01 13:04:54.294,2022-09-01 13:05:52.997, 4.65,0.0383,58,4.6883,53.3117
12,13,2022-09-01 13:04:54.307,2022-09-01 13:05:57.894, 4.62,0.0377,63,4.6577,58.3423
13,14,2022-09-01 13:04:54.314,2022-09-01 13:06:02.556, 4.57,0.0649,68,4.6349,63.3651
14,15,2022-09-01 13:04:54.322,2022-09-01 13:06:07.874, 4.76,0.0390,73,4.7989999999999995,68.201
