,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 17:28:33.080,2022-09-01 17:28:39.084, 5.01,0.0400,6,5.05,0.9500000000000002
1,2,2022-09-01 17:28:33.086,2022-09-01 17:28:39.263, 5.48,0.0363,6,5.5163,0.4836999999999998
2,3,2022-09-01 17:28:33.101,2022-09-01 17:28:39.401, 5.31,0.0392,6,5.3492,0.6508000000000003
3,4,2022-09-01 17:28:33.109,2022-09-01 17:28:44.810, 5.13,0.0371,11,5.1671,5.8329
4,5,2022-09-01 17:28:33.117,2022-09-01 17:28:44.864, 5.21,0.0473,11,5.2573,5.7427
5,6,2022-09-01 17:28:33.126,2022-09-01 17:28:44.983, 5.35,0.0363,11,5.386299999999999,5.613700000000001
6,7,2022-09-01 17:28:33.133,2022-09-01 17:28:50.071, 5.18,0.0369,16,5.2169,10.783100000000001
7,8,2022-09-01 17:28:33.141,2022-09-01 17:28:50.116, 5.17,0.0471,16,5.2171,10.7829
8,9,2022-09-01 17:28:33.148,2022-09-01 17:28:50.727, 5.36,0.0357,17,5.395700000000001,11.604299999999999
9,10,2022-09-01 17:28:33.157,2022-09-01 17:28:55.252, 5.09,0.0379,22,5.1278999999999995,16.8721
10,11,2022-09-01 17:28:33.171,2022-09-01 17:28:55.429, 5.25,0.0403,22,5.2903,16.709699999999998
11,12,2022-09-01 17:28:33.184,2022-09-01 17:28:55.664, 4.87,0.0441,22,4.9141,17.0859
12,13,2022-09-01 17:28:33.191,2022-09-01 17:29:00.849, 5.08,0.0324,27,5.1124,21.8876
13,14,2022-09-01 17:28:33.199,2022-09-01 17:29:00.884, 5.15,0.0330,27,5.183000000000001,21.817
14,15,2022-09-01 17:28:33.207,2022-09-01 17:29:00.921, 5.24,0.0340,27,5.274,21.726
