,user,intime,outtime,aeneas,tocloud,TPT,FET,CT
0,1,2022-09-01 13:59:39.457,2022-09-01 13:59:45.075, 5.01,0.0371,5,5.0470999999999995,-0.047099999999999476
1,2,2022-09-01 13:59:39.468,2022-09-01 13:59:49.866, 4.69,0.0423,10,4.7323,5.2677
2,3,2022-09-01 13:59:39.475,2022-09-01 13:59:54.697, 4.72,0.0465,15,4.7665,10.2335
3,4,2022-09-01 13:59:39.481,2022-09-01 13:59:59.828, 4.88,0.0334,20,4.9134,15.0866
4,5,2022-09-01 13:59:39.487,2022-09-01 14:00:05.153, 4.70,0.0389,25,4.7389,20.2611
5,6,2022-09-01 13:59:39.493,2022-09-01 14:00:09.819, 4.56,0.0404,30,4.6004,25.3996
6,7,2022-09-01 13:59:39.503,2022-09-01 14:00:14.599, 4.67,0.0391,35,4.7091,30.2909
7,8,2022-09-01 13:59:39.509,2022-09-01 14:00:19.629, 4.90,0.0415,40,4.9415000000000004,35.0585
8,9,2022-09-01 13:59:39.516,2022-09-01 14:00:24.431, 4.72,0.0422,44,4.7622,39.2378
9,10,2022-09-01 13:59:39.523,2022-09-01 14:00:29.726, 4.80,0.0387,50,4.8387,45.1613
10,11,2022-09-01 13:59:39.536,2022-09-01 14:00:34.523, 4.72,0.0798,54,4.799799999999999,49.2002
11,12,2022-09-01 13:59:39.544,2022-09-01 14:00:39.429, 4.73,0.0378,59,4.7678,54.2322
12,13,2022-09-01 13:59:39.550,2022-09-01 14:00:44.583, 4.75,0.0392,65,4.7892,60.2108
13,14,2022-09-01 13:59:39.560,2022-09-01 14:00:49.380, 4.71,0.0411,69,4.7511,64.2489
14,15,2022-09-01 13:59:39.569,2022-09-01 14:00:54.289, 4.59,0.0452,74,4.6352,69.3648
15,16,2022-09-01 13:59:39.579,2022-09-01 14:00:59.473, 4.76,0.0370,79,4.797,74.203
16,17,2022-09-01 13:59:39.587,2022-09-01 14:01:04.399, 4.85,0.0346,84,4.8846,79.1154
17,18,2022-09-01 13:59:39.597,2022-09-01 14:01:09.611, 4.91,0.0376,90,4.9476,85.0524
18,19,2022-09-01 13:59:39.606,2022-09-01 14:01:14.485, 4.74,0.0386,94,4.7786,89.2214
19,20,2022-09-01 13:59:39.613,2022-09-01 14:01:19.233, 4.53,0.0395,99,4.569500000000001,94.4305
20,21,2022-09-01 13:59:39.624,2022-09-01 14:01:24.073, 4.69,0.0388,104,4.728800000000001,99.2712
21,22,2022-09-01 13:59:39.631,2022-09-01 14:01:29.331, 4.58,0.0382,109,4.6182,104.3818
22,23,2022-09-01 13:59:39.636,2022-09-01 14:01:34.016, 4.59,0.0667,114,4.6567,109.3433
23,24,2022-09-01 13:59:39.642,2022-09-01 14:01:38.805, 4.60,0.0365,119,4.6365,114.3635
24,25,2022-09-01 13:59:39.656,2022-09-01 14:01:43.507, 4.61,0.0390,123,4.649,118.351
25,26,2022-09-01 13:59:39.663,2022-09-01 14:01:48.245, 4.55,0.0385,128,4.5885,123.4115
26,27,2022-09-01 13:59:39.670,2022-09-01 14:01:53.084, 4.72,0.0396,133,4.7596,128.2404
27,28,2022-09-01 13:59:39.677,2022-09-01 14:01:57.993, 4.74,0.0406,138,4.780600000000001,133.2194
28,29,2022-09-01 13:59:39.685,2022-09-01 14:02:02.794, 4.73,0.0352,143,4.7652,138.2348
29,30,2022-09-01 13:59:39.693,2022-09-01 14:02:07.619, 4.65,0.0413,147,4.6913,142.3087
